gen_id,bus,p_min,p_max,ramp_up,ramp_down,startup_cost,shutdown_cost,no_load_cost,marginal_cost,min_up_time,min_down_time,initial_status,initial_dispatch
G0,14,99.968,228.354,151.724,91.626,2054.279,308.142,918.421,24.303,6,5,1,164.161
G1,4,92.033,171.912,98.305,64.557,2997.218,449.583,993.657,21.726,7,4,1,131.9725
G2,15,104.554,208.433,111.864,76.604,4211.427,631.714,1082.419,18.254,6,5,0,0.0
G3,9,51.188,128.305,54.631,51.575,1255.69,188.353,333.138,47.253,2,2,1,89.7465
G4,15,31.75,82.691,55.561,41.758,1750.398,262.56,571.359,35.054,2,2,0,0.0
G5,13,35.647,128.25,81.062,84.939,1880.387,282.058,183.46,29.598,4,4,1,81.9485
G6,1,32.486,116.874,70.579,66.786,1406.644,210.997,494.149,27.634,4,3,1,74.67999999999999
G7,17,4.752,44.757,19.853,16.709,438.652,65.798,92.917,62.469,2,2,0,0.0
G8,8,10.244,44.084,18.374,15.83,638.165,95.725,206.78,67.281,1,1,0,0.0
G9,13,13.842,71.953,38.025,36.15,238.803,35.821,150.209,51.451,2,1,0,0.0
