scenario_id,GOn_g0_t0,GOn_g0_t1,GOn_g0_t2,GOn_g0_t3,GOn_g0_t4,GOn_g0_t5,GOn_g0_t6,GOn_g0_t7,GOn_g0_t8,GOn_g0_t9,GOn_g0_t10,GOn_g0_t11,GOn_g0_t12,GOn_g0_t13,GOn_g0_t14,GOn_g0_t15,GOn_g0_t16,GOn_g0_t17,GOn_g0_t18,GOn_g0_t19,GOn_g0_t20,GOn_g0_t21,GOn_g0_t22,GOn_g0_t23,GOn_g1_t0,GOn_g1_t1,GOn_g1_t2,GOn_g1_t3,GOn_g1_t4,GOn_g1_t5,GOn_g1_t6,GOn_g1_t7,GOn_g1_t8,GOn_g1_t9,GOn_g1_t10,GOn_g1_t11,GOn_g1_t12,GOn_g1_t13,GOn_g1_t14,GOn_g1_t15,GOn_g1_t16,GOn_g1_t17,GOn_g1_t18,GOn_g1_t19,GOn_g1_t20,GOn_g1_t21,GOn_g1_t22,GOn_g1_t23,GOn_g2_t0,GOn_g2_t1,GOn_g2_t2,GOn_g2_t3,GOn_g2_t4,GOn_g2_t5,GOn_g2_t6,GOn_g2_t7,GOn_g2_t8,GOn_g2_t9,GOn_g2_t10,GOn_g2_t11,GOn_g2_t12,GOn_g2_t13,GOn_g2_t14,GOn_g2_t15,GOn_g2_t16,GOn_g2_t17,GOn_g2_t18,GOn_g2_t19,GOn_g2_t20,GOn_g2_t21,GOn_g2_t22,GOn_g2_t23,GOn_g3_t0,GOn_g3_t1,GOn_g3_t2,GOn_g3_t3,GOn_g3_t4,GOn_g3_t5,GOn_g3_t6,GOn_g3_t7,GOn_g3_t8,GOn_g3_t9,GOn_g3_t10,GOn_g3_t11,GOn_g3_t12,GOn_g3_t13,GOn_g3_t14,GOn_g3_t15,GOn_g3_t16,GOn_g3_t17,GOn_g3_t18,GOn_g3_t19,GOn_g3_t20,GOn_g3_t21,GOn_g3_t22,GOn_g3_t23,GOn_g4_t0,GOn_g4_t1,GOn_g4_t2,GOn_g4_t3,GOn_g4_t4,GOn_g4_t5,GOn_g4_t6,GOn_g4_t7,GOn_g4_t8,GOn_g4_t9,GOn_g4_t10,GOn_g4_t11,GOn_g4_t12,GOn_g4_t13,GOn_g4_t14,GOn_g4_t15,GOn_g4_t16,GOn_g4_t17,GOn_g4_t18,GOn_g4_t19,GOn_g4_t20,GOn_g4_t21,GOn_g4_t22,GOn_g4_t23,GOn_g5_t0,GOn_g5_t1,GOn_g5_t2,GOn_g5_t3,GOn_g5_t4,GOn_g5_t5,GOn_g5_t6,GOn_g5_t7,GOn_g5_t8,GOn_g5_t9,GOn_g5_t10,GOn_g5_t11,GOn_g5_t12,GOn_g5_t13,GOn_g5_t14,GOn_g5_t15,GOn_g5_t16,GOn_g5_t17,GOn_g5_t18,GOn_g5_t19,GOn_g5_t20,GOn_g5_t21,GOn_g5_t22,GOn_g5_t23,GOn_g6_t0,GOn_g6_t1,GOn_g6_t2,GOn_g6_t3,GOn_g6_t4,GOn_g6_t5,GOn_g6_t6,GOn_g6_t7,GOn_g6_t8,GOn_g6_t9,GOn_g6_t10,GOn_g6_t11,GOn_g6_t12,GOn_g6_t13,GOn_g6_t14,GOn_g6_t15,GOn_g6_t16,GOn_g6_t17,GOn_g6_t18,GOn_g6_t19,GOn_g6_t20,GOn_g6_t21,GOn_g6_t22,GOn_g6_t23,GOn_g7_t0,GOn_g7_t1,GOn_g7_t2,GOn_g7_t3,GOn_g7_t4,GOn_g7_t5,GOn_g7_t6,GOn_g7_t7,GOn_g7_t8,GOn_g7_t9,GOn_g7_t10,GOn_g7_t11,GOn_g7_t12,GOn_g7_t13,GOn_g7_t14,GOn_g7_t15,GOn_g7_t16,GOn_g7_t17,GOn_g7_t18,GOn_g7_t19,GOn_g7_t20,GOn_g7_t21,GOn_g7_t22,GOn_g7_t23,GOn_g8_t0,GOn_g8_t1,GOn_g8_t2,GOn_g8_t3,GOn_g8_t4,GOn_g8_t5,GOn_g8_t6,GOn_g8_t7,GOn_g8_t8,GOn_g8_t9,GOn_g8_t10,GOn_g8_t11,GOn_g8_t12,GOn_g8_t13,GOn_g8_t14,GOn_g8_t15,GOn_g8_t16,GOn_g8_t17,GOn_g8_t18,GOn_g8_t19,GOn_g8_t20,GOn_g8_t21,GOn_g8_t22,GOn_g8_t23,GOn_g9_t0,GOn_g9_t1,GOn_g9_t2,GOn_g9_t3,GOn_g9_t4,GOn_g9_t5,GOn_g9_t6,GOn_g9_t7,GOn_g9_t8,GOn_g9_t9,GOn_g9_t10,GOn_g9_t11,GOn_g9_t12,GOn_g9_t13,GOn_g9_t14,GOn_g9_t15,GOn_g9_t16,GOn_g9_t17,GOn_g9_t18,GOn_g9_t19,GOn_g9_t20,GOn_g9_t21,GOn_g9_t22,GOn_g9_t23
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
