gen_id,bus,p_min,p_max,ramp_up,ramp_down,startup_cost,shutdown_cost,no_load_cost,marginal_cost,min_up_time,min_down_time,initial_status,initial_dispatch
G0,79,99.968,228.354,151.724,91.626,2054.279,308.142,918.421,24.303,6,5,1,164.161
G1,24,92.033,171.912,98.305,64.557,2997.218,449.583,993.657,21.726,7,4,1,131.9725
G2,82,104.554,208.433,111.864,76.604,4211.427,631.714,1082.419,18.254,6,5,0,0.0
G3,50,107.588,215.627,91.811,86.675,2800.241,420.036,695.495,25.61,4,3,1,161.60750000000002
G4,82,73.45,151.767,101.973,76.641,3690.716,553.607,999.607,19.246,4,3,0,0.0
G5,71,81.467,215.549,136.241,142.757,3924.696,588.704,504.417,16.399,7,5,1,148.508
G6,8,75.45,199.624,120.55,114.071,3071.96,460.794,901.042,15.374,7,4,1,137.537
G7,92,57.895,162.553,72.105,60.684,2903.027,435.454,628.751,19.241,7,5,0,0.0
G8,45,77.713,161.103,67.146,57.85,3593.647,539.047,970.339,20.684,5,4,0,0.0
G9,75,97.823,221.13,116.859,111.098,2211.243,331.686,800.627,15.935,7,4,0,0.0
G10,53,87.953,208.24,95.03,153.612,4397.124,659.569,570.804,15.052,5,5,1,148.0965
G11,49,96.932,220.365,94.965,104.096,4237.026,635.554,557.835,17.267,6,3,1,158.6485
G12,15,75.461,144.748,88.288,55.551,2966.651,444.998,931.678,23.102,5,4,1,110.1045
G13,63,56.47,125.826,52.625,90.601,2079.188,311.878,586.715,17.958,6,3,1,91.148
G14,7,34.862,94.687,51.573,51.726,1423.455,213.518,630.523,25.524,3,4,1,64.7745
G15,47,40.389,117.173,42.023,79.738,1481.009,222.151,335.837,31.14,2,4,1,78.781
G16,78,26.709,74.025,48.668,29.099,1121.851,168.278,495.953,27.497,2,3,1,50.367000000000004
G17,87,21.377,83.021,39.589,60.702,1944.685,291.703,354.333,37.762,4,3,0,0.0
G18,104,33.585,111.506,78.798,72.417,767.366,115.105,257.366,46.529,2,3,1,72.5455
G19,40,52.834,149.345,57.914,96.882,1692.492,253.874,542.846,32.266,4,3,0,0.0
G20,39,45.827,153.681,107.55,65.864,929.926,139.489,570.623,27.823,4,2,0,0.0
G21,24,61.207,137.74,55.472,85.546,720.904,108.136,247.632,36.517,3,2,0,0.0
G22,9,43.02,110.633,44.521,44.198,1906.187,285.928,273.895,38.366,2,4,1,76.8265
G23,30,30.944,99.758,71.818,35.907,2133.435,320.015,491.546,36.237,4,3,1,65.351
G24,19,33.463,123.398,82.892,66.259,2149.348,322.402,376.984,28.228,2,3,1,78.4305
G25,57,16.795,61.784,36.601,43.069,1048.961,157.344,554.504,44.077,4,3,1,39.289500000000004
G26,57,32.892,101.257,45.026,65.656,2001.236,300.185,486.408,34.795,2,3,1,67.0745
G27,33,18.571,70.528,28.744,50.666,1936.996,290.549,248.701,38.672,2,2,0,0.0
G28,89,24.836,88.472,51.885,55.055,783.093,117.464,189.94,27.656,2,2,1,56.653999999999996
G29,19,32.213,91.799,40.823,41.287,765.213,114.782,580.032,45.125,2,3,1,62.006
G30,11,26.408,101.626,73.164,39.598,852.508,127.876,426.164,33.593,2,4,1,64.017
G31,84,67.005,150.265,60.68,84.814,1663.725,249.559,546.354,43.447,2,3,1,108.63499999999999
G32,46,49.931,145.757,75.321,64.575,1099.695,164.954,480.595,33.857,2,2,1,97.844
G33,102,30.49,96.639,69.246,52.414,1145.315,171.797,502.299,33.728,3,4,0,0.0
G34,7,47.656,113.543,73.117,48.933,1499.083,224.863,558.064,40.01,4,3,1,80.5995
G35,9,40.377,146.072,105.811,59.154,1788.573,268.286,224.695,39.131,2,3,1,93.2245
G36,77,51.656,140.088,54.357,83.558,2119.041,317.856,553.704,43.0,2,2,0,0.0
G37,86,42.461,116.495,63.707,68.713,1845.885,276.883,425.637,35.718,3,4,1,79.47800000000001
G38,22,4.046,32.783,15.849,23.254,446.514,66.977,181.573,48.508,2,2,1,18.4145
G39,101,7.36,42.585,22.364,21.434,235.271,35.291,81.522,57.578,2,1,1,24.9725
G40,0,17.505,60.945,44.519,24.219,413.56,62.034,145.874,76.212,2,2,1,39.225
G41,49,8.26,66.41,45.169,31.089,129.596,19.439,187.219,68.53,2,1,1,37.335
G42,4,8.621,53.75,24.917,36.806,206.259,30.939,206.259,81.738,1,2,0,0.0
G43,3,20.969,89.942,40.144,36.625,819.686,122.953,68.088,71.005,2,2,1,55.4555
G44,88,10.688,37.883,25.404,16.874,124.235,18.635,57.233,71.251,1,1,1,24.285500000000003
G45,90,7.473,28.72,10.513,12.37,664.534,99.68,204.422,82.112,2,2,0,0.0
G46,5,14.393,57.795,26.487,36.64,241.066,36.16,220.226,70.2,2,2,1,36.094
G47,76,7.181,64.75,27.147,25.038,809.634,121.445,58.47,69.652,1,1,0,0.0
G48,26,17.005,88.702,41.737,51.554,566.482,84.972,177.282,76.363,1,1,1,52.8535
G49,51,19.362,67.2,26.725,27.125,435.147,65.272,151.671,50.938,2,2,0,0.0
G50,90,8.315,44.806,26.226,21.364,441.212,66.182,176.926,69.44,1,1,0,0.0
G51,75,10.169,52.196,31.797,31.89,561.302,84.195,164.492,54.024,1,2,0,0.0
G52,87,15.985,76.183,53.676,54.732,401.313,60.197,175.202,62.257,2,2,1,46.084
G53,12,15.291,58.818,22.282,40.396,505.43,75.815,217.476,57.578,2,1,0,0.0
