bus,load_share
0,0.0565306416161965
1,0.015795727840840382
2,0.12611462360799575
3,0.06214168522177896
4,0.006256461590408727
5,0.07962539053515716
6,0.01412557875023874
7,0.02914119527321169
8,0.033377136713325685
9,0.0005565806363365215
10,0.013758626297803875
11,0.09920453759341426
12,0.10873439410961733
13,0.019473464995164495
14,0.036155408995362924
15,0.009961911366937866
16,0.09918143729037884
17,0.03366603196562367
18,0.08308584142320138
19,0.04130771672836309
20,0.012290173390838722
21,0.01239200503716306
22,0.00260580309033438
23,0.004517625930305891
