scenario_id,case_name,num_generators,time_horizon,reserve_margin,total_capacity,demand_t0,renewable_t0,net_demand_t0,solar_t0,wind_t0,demand_t1,renewable_t1,net_demand_t1,solar_t1,wind_t1,demand_t2,renewable_t2,net_demand_t2,solar_t2,wind_t2,demand_t3,renewable_t3,net_demand_t3,solar_t3,wind_t3,demand_t4,renewable_t4,net_demand_t4,solar_t4,wind_t4,demand_t5,renewable_t5,net_demand_t5,solar_t5,wind_t5,demand_t6,renewable_t6,net_demand_t6,solar_t6,wind_t6,demand_t7,renewable_t7,net_demand_t7,solar_t7,wind_t7,demand_t8,renewable_t8,net_demand_t8,solar_t8,wind_t8,demand_t9,renewable_t9,net_demand_t9,solar_t9,wind_t9,demand_t10,renewable_t10,net_demand_t10,solar_t10,wind_t10,demand_t11,renewable_t11,net_demand_t11,solar_t11,wind_t11,demand_t12,renewable_t12,net_demand_t12,solar_t12,wind_t12,demand_t13,renewable_t13,net_demand_t13,solar_t13,wind_t13,demand_t14,renewable_t14,net_demand_t14,solar_t14,wind_t14,demand_t15,renewable_t15,net_demand_t15,solar_t15,wind_t15,demand_t16,renewable_t16,net_demand_t16,solar_t16,wind_t16,demand_t17,renewable_t17,net_demand_t17,solar_t17,wind_t17,demand_t18,renewable_t18,net_demand_t18,solar_t18,wind_t18,demand_t19,renewable_t19,net_demand_t19,solar_t19,wind_t19,demand_t20,renewable_t20,net_demand_t20,solar_t20,wind_t20,demand_t21,renewable_t21,net_demand_t21,solar_t21,wind_t21,demand_t22,renewable_t22,net_demand_t22,solar_t22,wind_t22,demand_t23,renewable_t23,net_demand_t23,solar_t23,wind_t23
0,case24,24,24,0.1,2754.6410000000005,1428.6044458480837,57.63271997565556,1370.9717258724281,0.0,57.63271997565556,1358.5453633888858,52.268927519744665,1306.276435869141,0.0,52.268927519744665,1280.3995682730963,52.88242462349824,1227.517143649598,0.0,52.88242462349824,1394.3933188316657,54.638832364296746,1339.754486467369,0.0,54.638832364296746,1499.363273221637,44.98278459369828,1454.3804886279388,0.0,44.98278459369828,1506.5308791228733,50.08130410922113,1456.4495750136523,0.0,50.08130410922113,1504.2309244768167,44.88818737088745,1459.3427371059292,0.0,44.88818737088745,1609.829760036564,117.20668917567491,1492.6230708608891,71.39131735863467,45.81537181704024,1566.5854349000538,176.85723596438908,1389.7281989356648,137.91743441900857,38.93980154538052,1634.1193875914216,231.76666326228818,1402.3527243291335,195.04470624306384,36.72195701922433,1709.3001806906211,270.1654093146937,1439.1347713759274,238.88000366327148,31.285405651422227,1821.474547537417,303.4581383549056,1518.0164091825113,266.43602360169854,37.022114753207035,1745.7631004188163,309.0640608917645,1436.6990395270518,275.8348688380172,33.22919205374726,1666.301036045377,298.5583973749997,1367.7426386703773,266.43602360169854,32.12237377330118,1637.8193301249662,264.18246564199984,1373.6368644829663,238.88000366327154,25.302461978728324,1616.3876358361094,224.16412938411602,1392.2235064519934,195.04470624306387,29.119423141052152,1644.5058945281244,173.4721223984486,1471.0337721296758,137.91743441900857,35.554687979440025,1709.3610335281337,110.15976607327603,1599.2012674548578,71.39131735863474,38.768448714641295,1874.4044446158305,37.89253938835243,1836.511905227478,3.378002892157078e-14,37.8925393883524,1957.0538218187526,34.54181152305828,1922.5120102956944,0.0,34.54181152305828,1821.793560304713,42.91061974475258,1778.8829405599604,0.0,42.91061974475258,1756.7729582200564,46.40540646957972,1710.3675517504767,0.0,46.40540646957972,1784.4949714228537,42.15294509701021,1742.3420263258436,0.0,42.15294509701021,1791.5816759274542,46.1959206246096,1745.3857553028445,0.0,46.1959206246096
1,case24,24,24,0.1,2754.6410000000005,1377.4327469888756,64.7572466054653,1312.6755003834103,0.0,64.7572466054653,1332.334983847482,61.09232406663168,1271.2426597808503,0.0,61.09232406663168,1434.561085343787,71.26477665071374,1363.2963086930733,0.0,71.26477665071374,1599.005304565588,55.49146275116496,1543.513841814423,0.0,55.49146275116496,1624.6960667542803,58.29931155655545,1566.3967551977248,0.0,58.29931155655545,1650.1968449412213,56.704378330301644,1593.4924666109198,0.0,56.704378330301644,1706.5788603912654,54.03694200841767,1652.5419183828476,0.0,54.03694200841767,1778.3250078404249,139.68707658222866,1638.6379312581962,89.05807403676147,50.62900254546717,1837.6160558840074,219.08005076594702,1618.5360051180605,172.04698750334367,47.03306326260334,1844.329633157809,284.98991547855917,1559.3397176792498,243.31118309266304,41.678732385896154,1661.9642129555348,324.717717230747,1337.2464957247878,297.99412364495896,26.723593585788034,1542.0150839179498,372.23833882675785,1169.776745091192,332.36925712942457,39.86908169733331,1531.0454236726857,383.62543629642175,1147.419987376264,344.0939750066874,39.53146128973433,1655.944336962582,370.1421859904349,1285.802150972147,332.36925712942457,37.772928861010314,1693.4411370117527,328.3978990307973,1365.0432379809554,297.994123644959,30.40377538583831,1704.5512581930461,283.4277614370873,1421.1234967559587,243.31118309266307,40.116578344424276,1914.3609741112934,220.75880253920872,1693.6021715720847,172.04698750334367,48.71181503586503,2049.135194898024,135.69300963795874,1913.4421852600653,89.05807403676157,46.634935601197164,2056.048932855725,35.82050080321979,2020.2284320525052,4.2139358509782907e-14,35.820500803219744,1966.9169828394881,43.25571641901659,1923.6612664204715,0.0,43.25571641901659,1815.970840773738,45.065345768512486,1770.9054950052255,0.0,45.065345768512486,1933.9034593204187,56.29946666970444,1877.6039926507142,0.0,56.29946666970444,1925.3549288681781,55.2457688444715,1870.1091600237066,0.0,55.2457688444715,1753.1458870666402,57.84913302209857,1695.2967540445416,0.0,57.84913302209857
2,case24,24,24,0.1,2754.6410000000005,1340.2886181693284,43.158986041653044,1297.1296321276754,0.0,43.158986041653044,1427.0872792213345,37.68521394782361,1389.402065273511,0.0,37.68521394782361,1383.615227692994,40.13680177665866,1343.4784259163355,0.0,40.13680177665866,1483.4205972432517,33.88192187110722,1449.5386753721446,0.0,33.88192187110722,1513.1376020073415,37.66025191742269,1475.4773500899187,0.0,37.66025191742269,1720.1969696098965,42.702418423719465,1677.494551186177,0.0,42.702418423719465,1780.8824110722444,33.4572325437942,1747.4251785284503,0.0,33.4572325437942,1726.769842863225,93.01956330693122,1633.7502795562937,60.97798208837968,32.04158121855153,1717.728464634718,150.86067820625686,1566.8677864284612,117.80041546831627,33.060262737940604,1667.8226276580392,190.12931748622432,1477.6933101718148,166.59494520847824,23.534372277746083,1653.947006613608,229.59110240371183,1424.3559042098962,204.0363047438465,25.554797659865322,1653.0439369521928,252.49026208055267,1400.5536748716402,227.57292729685796,24.91733478369471,1595.6366163336327,264.6337252975866,1331.002891036046,235.6008309366326,29.032894360953957,1627.7999875815162,251.0374320606502,1376.762555520866,227.57292729685796,23.46450476379223,1614.3056825455058,232.7888350327833,1381.5168475127225,204.03630474384656,28.75253028893676,1606.9884523527314,188.74616097002115,1418.2422913827104,166.59494520847826,22.151215761542872,1706.0248003300715,144.03380433606497,1561.9909959940064,117.80041546831627,26.233388867748705,1710.9179049246372,85.78889557060073,1625.1290093540365,60.97798208837974,24.810913482220993,1695.3312219339336,30.346808669942575,1664.984413263991,2.885278034830039e-14,30.346808669942547,1673.36426441127,27.32810858438998,1646.0361558268798,0.0,27.32810858438998,1763.9923919561727,26.523128619853505,1737.4692633363193,0.0,26.523128619853505,1683.4342194659778,34.19773268415671,1649.236486781821,0.0,34.19773268415671,1819.6636365471952,32.712505655676814,1786.9511308915185,0.0,32.712505655676814,1709.9275260035272,34.78335952318648,1675.1441664803408,0.0,34.78335952318648
3,case24,24,24,0.1,2754.6410000000005,1122.921241824489,46.59487265212725,1076.3263691723619,0.0,46.59487265212725,1205.7772275117622,43.03269123256865,1162.7445362791937,0.0,43.03269123256865,1342.9932343580956,49.2707525699812,1293.7224817881145,0.0,49.2707525699812,1362.4760500998452,47.9120772633012,1314.563972836544,0.0,47.9120772633012,1549.6772059695604,48.2143156056693,1501.4628903638911,0.0,48.2143156056693,1536.6403373979454,30.860097793141527,1505.780239604804,0.0,30.860097793141527,1452.1923245566625,44.99312962787453,1407.1991949287878,0.0,44.99312962787453,1498.7327504096718,105.6113864199188,1393.121363989753,61.8555148676215,43.7558715522973,1590.4887084745108,155.81529276259482,1434.6734157119158,119.49567861808609,36.31961414450875,1609.2665856167416,211.97792582954446,1397.288659787197,168.992409346674,42.98551648287046,1522.8184250144402,232.56568642998369,1290.2527385844564,206.97258665144705,25.593099778536644,1406.7142803483048,252.31214688475762,1154.4021334635472,230.84792421429555,21.464222670462075,1530.7944883133418,262.8652024354744,1267.9292858778674,238.9913572361722,23.873845199302153,1489.5634578074403,255.9966952249613,1233.566762582479,230.84792421429555,25.14877101066574,1485.2239815946987,237.22531892983275,1247.9986626648658,206.9725866514471,30.252732278385643,1678.6979280057237,202.0541030975301,1476.6438249081937,168.99240934667404,33.061693750856044,1689.4218153927895,144.02197129726525,1545.3998440955243,119.49567861808609,24.52629267917917,1631.9611613111508,99.11606351732121,1532.8450977938296,61.855514867621565,37.260548649699636,1765.482082334991,28.941830919043593,1736.5402514159473,2.9268000066315994e-14,28.941830919043564,1820.3955729182253,38.29490977251686,1782.1006631457085,0.0,38.29490977251686,1731.2860063618436,42.96688884734585,1688.3191175144977,0.0,42.96688884734585,1676.9925637811136,36.07383438975482,1640.9187293913587,0.0,36.07383438975482,1652.08512644025,36.945532434566466,1615.1395940056834,0.0,36.945532434566466,1485.6343544485128,39.688106403893265,1445.9462480446196,0.0,39.688106403893265
4,case24,24,24,0.1,2754.6410000000005,1197.32583137712,53.886159031086635,1143.4396723460334,0.0,53.886159031086635,1184.6057382531155,49.90631523807901,1134.6994230150365,0.0,49.90631523807901,1357.82135285154,49.27922937908932,1308.5421234724506,0.0,49.27922937908932,1303.2501382824273,54.00413754764252,1249.2460007347847,0.0,54.00413754764252,1315.0083112480902,50.65998672173635,1264.3483245263537,0.0,50.65998672173635,1455.1092411466311,47.10327525747205,1408.0059658891591,0.0,47.10327525747205,1576.1598734853233,47.52480115018417,1528.635072335139,0.0,47.52480115018417,1638.3532779177835,119.4558351155707,1518.897442802213,75.83540919524707,43.62042592032363,1536.6962149969934,187.7538893331411,1348.9423256638522,146.50276057777725,41.25112875536385,1640.8905965163826,252.64592697122725,1388.2446695451554,207.186190934191,45.45973603703628,1636.675491609662,296.9678417821794,1339.7076498274826,253.75022476980897,43.21761701237043,1606.3711504736896,315.7225980871109,1290.6485523865786,283.0216001294381,32.700997957672776,1431.1600884075203,326.2913246164354,1104.8687637910848,293.0055211555545,33.2858034608809,1411.0625881176804,309.6661512526862,1101.3964368649943,283.0216001294381,26.644551123248025,1548.0578054822047,288.00384446387255,1260.053961018332,253.750224769809,34.25361969406354,1762.9861829469974,233.07602846846592,1529.9101544785315,207.186190934191,25.88983753427494,1740.527296532284,175.73010273181836,1564.7971938004657,146.50276057777725,29.227342154041125,1809.2498091480788,108.72135765984095,1700.5284514882378,75.83540919524714,32.8859484645938,1773.4182834133135,30.590380265381683,1742.8279031479317,3.588282736156519e-14,30.590380265381647,1824.94883571654,39.94082015018672,1785.0080155663534,0.0,39.94082015018672,1714.0734588139708,41.662727111897915,1672.4107317020728,0.0,41.662727111897915,1560.6050318683351,40.69632788909394,1519.9087039792412,0.0,40.69632788909394,1514.3850992752095,51.09105916038703,1463.2940401148226,0.0,51.09105916038703,1497.696300986284,51.405788621493976,1446.2905123647902,0.0,51.405788621493976
5,case24,24,24,0.1,2754.6410000000005,1273.5588302128704,56.15647771048537,1217.402352502385,0.0,56.15647771048537,1429.3241209811224,59.39485481881724,1369.929266162305,0.0,59.39485481881724,1366.539955856743,63.890891962976276,1302.6490638937669,0.0,63.890891962976276,1541.8053415275995,73.16415510738823,1468.6411864202112,0.0,73.16415510738823,1686.6204124054602,67.62786604294253,1618.9925463625177,0.0,67.62786604294253,1714.6816051802243,63.21371923828328,1651.467885941941,0.0,63.21371923828328,1711.7849205474101,64.4368995715256,1647.3480209758845,0.0,64.4368995715256,1804.233648405851,133.2970881341921,1670.936560271659,80.95209621541122,52.34499191878089,1887.0966158830881,210.18439708666432,1676.9122187964238,156.38744085340642,53.79695623325789,2020.584876512652,275.9088675315594,1744.6760089810928,221.16523983970762,54.7436276918518,2002.2319108378285,317.371948211536,1684.8599626262926,270.8709932237727,46.50095498776328,1771.8744353985114,337.10082419810243,1434.773611200409,302.1173360551189,34.98348814298349,1581.11285649732,357.48076214031533,1223.6320943570047,312.7748817068129,44.70588043350245,1720.9316736209921,338.5760587690338,1382.3556148519583,302.1173360551189,36.45872271391489,1893.2069298560782,309.3150048239854,1583.8919250320928,270.87099322377276,38.44401160021266,1915.2003490085021,251.52211106533773,1663.6782379431645,221.16523983970765,30.356871225630073,1916.6902707608658,203.27723037409532,1713.4130403867705,156.38744085340642,46.889789520688915,1861.4350194783262,119.19104086078644,1742.2439786175398,80.9520962154113,38.23894464537515,1837.4450856259712,42.77066520640293,1794.6744204195682,3.830387577359405e-14,42.770665206402896,1891.722564128864,38.8769250502077,1852.8456390786562,0.0,38.8769250502077,1915.8561594302312,49.970557290408486,1865.8856021398226,0.0,49.970557290408486,1875.016499706249,51.92404506918845,1823.0924546370607,0.0,51.92404506918845,1746.1123254036218,53.78594442373802,1692.3263809798837,0.0,53.78594442373802,1587.648843813989,70.69617517341243,1516.9526686405766,0.0,70.69617517341243
6,case24,24,24,0.1,2754.6410000000005,1413.6232775374,42.055112440590925,1371.5681650968093,0.0,42.055112440590925,1363.6804824281896,50.49465208477566,1313.185830343414,0.0,50.49465208477566,1294.1175168031264,41.44589174611447,1252.6716250570119,0.0,41.44589174611447,1410.972244993112,40.025731077210764,1370.9465139159013,0.0,40.025731077210764,1617.161049623116,42.090947080844025,1575.070102542272,0.0,42.090947080844025,1704.9661574150225,45.86691860513667,1659.099238809886,0.0,45.86691860513667,1651.4486516545246,35.323537294412425,1616.125114360112,0.0,35.323537294412425,1731.6492002208392,116.60628674471619,1615.042913476123,80.21663339434714,36.38965335036905,1817.441299398448,188.3774867853092,1629.063812613139,154.96663578712403,33.41085099818517,1671.5879012719279,258.81836485791126,1412.7695364140166,219.15591804548265,39.66244681242863,1679.802505039621,292.84390051851415,1386.958604521107,268.4100866613203,24.433813857193837,1682.754503362266,325.2697263708137,1357.4847769914522,299.37255143982986,25.897174930983866,1672.9597054404205,334.4623844975982,1338.4973209428224,309.9332715742481,24.52911292335005,1676.4633496062163,329.1948141155129,1347.2685354907035,299.37255143982986,29.822262675683024,1633.2533408102581,294.6384184977243,1338.614922312534,268.41008666132035,26.228331836403907,1654.4349826284201,246.895321617834,1407.539661010586,219.15591804548268,27.739403572351325,1794.994790288855,182.19320559851292,1612.8015846903422,154.96663578712403,27.22656981138888,1667.4255598452798,109.15829941429874,1558.2672604309812,80.21663339434723,28.941666019951512,1817.5481771288905,34.08741550251385,1783.4607616263768,3.7955878898267034e-14,34.087415502513814,2002.5231119211082,29.28888109207168,1973.2342308290365,0.0,29.28888109207168,2024.1111791904634,35.31504435949347,1988.79613483097,0.0,35.31504435949347,1939.176912000694,41.1818361275988,1897.9950758730952,0.0,41.1818361275988,1912.0859626974943,36.3954743022537,1875.6904883952407,0.0,36.3954743022537,1678.7374797259456,36.60873220950998,1642.1287475164356,0.0,36.60873220950998
7,case24,24,24,0.1,2754.6410000000005,1274.010247285075,55.94762640385689,1218.062620881218,0.0,55.94762640385689,1270.9815546815285,61.61287909059611,1209.3686755909323,0.0,61.61287909059611,1206.0441646769243,73.74868226040006,1132.2954824165242,0.0,73.74868226040006,1396.2205288785628,65.15521344655174,1331.0653154320112,0.0,65.15521344655174,1572.87050988599,66.0882829562911,1506.782226929699,0.0,66.0882829562911,1598.573273743254,64.47804539517679,1534.0952283480772,0.0,64.47804539517679,1516.3576495836871,58.41030624818967,1457.9473433354974,0.0,58.41030624818967,1452.8575652313077,99.60114320152795,1353.2564220297797,47.999926335282325,51.601216866245615,1471.3503717591623,144.2126409069256,1327.1377308522367,92.72873701444396,51.48390389248164,1587.314303168376,181.17058300126342,1406.1437201671126,131.1382375075547,50.03234549370874,1647.3178516708833,200.90487267543975,1446.4129789954436,160.61088383070972,40.29398884473003,1609.2814107835802,218.80903197256046,1390.4723788110198,179.13816384283703,39.67086812972344,1513.7074545615462,224.76681728850534,1288.940637273041,185.45747402888796,39.30934325961738,1562.0046507586499,217.64740341455297,1344.3572473440968,179.13816384283703,38.50923957171592,1507.26245522366,188.25493385064405,1319.007521373016,160.61088383070975,27.6440500199343,1607.303739785636,168.79421334467807,1438.5095264409579,131.1382375075547,37.655975837123385,1556.4080342875754,133.00897203265566,1423.3990622549197,92.72873701444396,40.280235018211684,1694.1514777851771,91.44095731057712,1602.7105204746,47.999926335282375,43.44103097529474,1711.7897226497441,40.87764214694262,1670.9120805028015,2.2711990194743104e-14,40.8776421469426,1752.3746995821384,48.207873981504,1704.1668256006344,0.0,48.207873981504,1813.7068412838084,54.49067352937122,1759.2161677544373,0.0,54.49067352937122,1742.9107681166424,61.703602684269875,1681.2071654323724,0.0,61.703602684269875,1551.6769753138944,64.06417361607552,1487.612801697819,0.0,64.06417361607552,1479.9335415920882,60.27435566870757,1419.6591859233806,0.0,60.27435566870757
8,case24,24,24,0.1,2754.6410000000005,1379.0026512494971,53.40126608564746,1325.6013851638497,0.0,53.40126608564746,1410.7925301943992,58.892527704847424,1351.9000024895518,0.0,58.892527704847424,1523.4419728874166,64.07452751925533,1459.3674453681613,0.0,64.07452751925533,1564.7640854994297,61.2669636863742,1503.4971218130554,0.0,61.2669636863742,1631.4876068829801,64.09015147127187,1567.3974554117083,0.0,64.09015147127187,1782.4641911219055,58.56741561453128,1723.8967755073743,0.0,58.56741561453128,1878.7872612891344,55.58535585345281,1823.2019054356817,0.0,55.58535585345281,1808.6210129012504,109.85699051270197,1698.7640223885485,62.87366541475438,46.98332509794759,1835.2925713506124,171.43585096218519,1663.8567203884272,121.46259443513806,49.97325652704712,1783.3330926946235,221.1514437700814,1562.181648924542,171.77404837119508,49.37739539888634,1799.7790898109497,256.00237233777364,1543.7767174731762,210.37938478079192,45.62298755698173,1895.974123175854,268.84394479191945,1627.1301783839344,234.64771378594946,34.19623100596999,1782.0058389935177,279.84267974465536,1502.1631592488625,242.92518887027614,36.917490874379226,1681.733269108422,268.03277588774927,1413.7004932206728,234.64771378594946,33.38506210179983,1608.9499043222052,246.70274480051447,1362.2471595216907,210.37938478079195,36.323360019722514,1784.0701381455467,210.133386513238,1573.9367516323086,171.7740483711951,38.35933814204289,1820.699455158735,157.82541506704223,1662.8740400916927,121.46259443513806,36.36282063190418,2058.7514125287157,107.87709522401259,1950.874317304703,62.87366541475444,45.00342980925815,2045.4519726648475,38.58347815643236,2006.868494508415,2.974975549822499e-14,38.583478156432335,2028.8184190181826,43.9890322151427,1984.8293868030398,0.0,43.9890322151427,2051.139102114091,47.60997752427328,2003.529124589818,0.0,47.60997752427328,1926.7038496985956,55.59749759115579,1871.1063521074398,0.0,55.59749759115579,1799.309903992925,61.03884340112065,1738.2710605918044,0.0,61.03884340112065,1768.6726898309632,57.7012816525763,1710.971408178387,0.0,57.7012816525763
9,case24,24,24,0.1,2754.6410000000005,1498.960716451612,45.003893342454134,1453.9568231091578,0.0,45.003893342454134,1411.319849065991,56.51638856041276,1354.8034605055784,0.0,56.51638856041276,1486.152176446583,52.631091207619924,1433.5210852389632,0.0,52.631091207619924,1614.456682461169,55.03279837390468,1559.4238840872645,0.0,55.03279837390468,1713.097324989419,48.810164323686536,1664.2871606657322,0.0,48.810164323686536,1695.7887588283215,50.185064721542396,1645.6036941067791,0.0,50.185064721542396,1709.2767530661247,39.585502125972006,1669.6912509401527,0.0,39.585502125972006,1865.9619234965498,91.91753396712471,1774.0443895294252,52.28636146676285,39.63117250036187,2012.9768827196506,139.46083896585677,1873.5160437537938,101.00949380686359,38.451345158993185,1941.7904322719057,176.57634894302421,1765.2140833288815,142.84899607010766,33.727352872916555,1973.5162902395516,206.4294272440832,1767.0868629954684,174.95357532030164,31.47585192378155,1915.9743709610475,227.10572003149952,1688.868650929548,195.13535753687054,31.970362494628986,1684.1417765246792,233.179297513765,1450.9624790109142,202.0189876137272,31.16030990003778,1618.4132331821816,223.6506577892556,1394.762575392926,195.13535753687054,28.51530025238507,1706.2667142693008,200.66535747791514,1505.6013567913856,174.95357532030167,25.71178215761348,1828.875404974562,174.8170127708148,1654.0583922037472,142.8489960701077,31.968016700707118,1928.8878929884083,122.95460784103639,1805.9332851473719,101.00949380686359,21.945114034172807,1985.8318225376247,82.46913645987978,1903.362686077745,52.286361466762905,30.182774993116873,1967.186472275244,40.46270126836206,1926.7237710068819,2.4740190654813982e-14,40.46270126836204,1972.8631331251756,31.975203497971673,1940.887929627204,0.0,31.975203497971673,1903.7437959716628,48.706264618025216,1855.0375313536376,0.0,48.706264618025216,2025.5353851285035,40.83933502706313,1984.6960501014405,0.0,40.83933502706313,1921.1588783001196,51.48462858671322,1869.6742497134064,0.0,51.48462858671322,1803.0322075347785,45.82532514473753,1757.206882390041,0.0,45.82532514473753
