scenario_id,case_name,model_name,mode,solve_time,objective,gap,solver_status,termination_condition,feasible,predicted_schedule_feasible,num_binaries_fixed,pct_binaries_fixed,baseline_full_milp_time,baseline_full_milp_objective,speedup_vs_full_milp,cost_deviation_vs_full_milp
15,case118_reduced,cnn,full_milp,1.301258114981465,2484516.1388037214,0.0009467359923239317,ok,optimal,True,False,0,0.0,1.301258114981465,2484516.1388037214,1.0,0.0
15,case118_reduced,cnn,warm_start,1.1293916910071857,2484516.1388037214,0.0009467359923239317,ok,optimal,True,False,0,0.0,1.301258114981465,2484516.1388037214,1.152176100942455,0.0
15,case118_reduced,cnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,1.301258114981465,2484516.1388037214,,
15,case118_reduced,cnn,partial_fix_confident,0.16036163101671264,2485661.51905199,0.0008474864980322752,ok,optimal,True,False,1050,0.8101851851851852,1.301258114981465,2484516.1388037214,8.11452282401549,0.00046100736895196575
18,case118_reduced,cnn,full_milp,0.8680346650071442,2527318.918515465,0.0009393149441627789,ok,optimal,True,False,0,0.0,0.8680346650071442,2527318.918515465,1.0,0.0
18,case118_reduced,cnn,warm_start,0.8801746550016105,2527318.918515465,0.0009393149441627789,ok,optimal,True,False,0,0.0,0.8680346650071442,2527318.918515465,0.9862072942847416,0.0
18,case118_reduced,cnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.8680346650071442,2527318.918515465,,
18,case118_reduced,cnn,partial_fix_confident,0.10214865900343284,,,warning,infeasible,False,False,1055,0.8140432098765432,0.8680346650071442,2527318.918515465,8.497758790724534,
19,case118_reduced,cnn,full_milp,0.8322413869900629,2532624.84251878,0.0007578620397815663,ok,optimal,True,False,0,0.0,0.8322413869900629,2532624.84251878,1.0,0.0
19,case118_reduced,cnn,warm_start,0.8734972680103965,2532624.84251878,0.0007578620397815663,ok,optimal,True,False,0,0.0,0.8322413869900629,2532624.84251878,0.952769307322158,0.0
19,case118_reduced,cnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.8322413869900629,2532624.84251878,,
19,case118_reduced,cnn,partial_fix_confident,0.15648803301155567,2532817.9052272155,0.0008386062181002209,ok,optimal,True,False,1057,0.8155864197530864,0.8322413869900629,2532624.84251878,5.31824300538436,7.623028298323601e-05
22,case118_reduced,cnn,full_milp,0.924732799991034,2171614.4080425515,0.0007911508849012308,ok,optimal,True,False,0,0.0,0.924732799991034,2171614.4080425515,1.0,0.0
22,case118_reduced,cnn,warm_start,0.9415075150318444,2171614.4080425515,0.0007911508849012308,ok,optimal,True,False,0,0.0,0.924732799991034,2171614.4080425515,0.9821831320802118,0.0
22,case118_reduced,cnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.924732799991034,2171614.4080425515,,
22,case118_reduced,cnn,partial_fix_confident,0.1415993850096129,2171717.0317917825,0.0009632511656182879,ok,optimal,True,False,1127,0.8695987654320988,0.924732799991034,2171614.4080425515,6.530627233502856,4.725689277567985e-05
24,case118_reduced,cnn,full_milp,1.0107901730225421,2417923.314668417,0.0008905893971618811,ok,optimal,True,False,0,0.0,1.0107901730225421,2417923.314668417,1.0,0.0
24,case118_reduced,cnn,warm_start,0.970503673015628,2417923.314668417,0.0008905893971618811,ok,optimal,True,False,0,0.0,1.0107901730225421,2417923.314668417,1.0415109196668288,0.0
24,case118_reduced,cnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,1.0107901730225421,2417923.314668417,,
24,case118_reduced,cnn,partial_fix_confident,0.10019228095188737,,,warning,infeasible,False,False,1065,0.8217592592592593,1.0107901730225421,2417923.314668417,10.08850345974184,
26,case118_reduced,cnn,full_milp,0.8056042270036414,2331748.177662901,0.0006939986478210752,ok,optimal,True,False,0,0.0,0.8056042270036414,2331748.177662901,1.0,0.0
26,case118_reduced,cnn,warm_start,0.8021968780085444,2331748.177662901,0.0006939986478210752,ok,optimal,True,False,0,0.0,0.8056042270036414,2331748.177662901,1.0042475221339127,0.0
26,case118_reduced,cnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.8056042270036414,2331748.177662901,,
26,case118_reduced,cnn,partial_fix_confident,0.14582756400341168,2332939.4606094877,0.0009021420100344028,ok,optimal,True,False,1104,0.8518518518518519,0.8056042270036414,2331748.177662901,5.5243618208200616,0.0005108969133110358
36,case118_reduced,cnn,full_milp,0.795862935949117,2059919.1090658114,0.0008001379903568313,ok,optimal,True,False,0,0.0,0.795862935949117,2059919.1090658114,1.0,0.0
36,case118_reduced,cnn,warm_start,0.7824688809923828,2059919.1090658114,0.0008001379903568313,ok,optimal,True,False,0,0.0,0.795862935949117,2059919.1090658114,1.0171176838876288,0.0
36,case118_reduced,cnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.795862935949117,2059919.1090658114,,
