scenario_id,case_name,model_name,baseline_mode,baseline_solve_time,baseline_objective,baseline_feasible,baseline_gap,baseline_status,baseline_termination_condition,policy_mode,policy_solver_time,feasibility_check_time,policy_total_time,policy_objective,policy_gap,policy_status,policy_termination_condition,policy_feasible,prediction_partially_feasible,prediction_fully_feasible,violation_types,num_binaries_fixed,pct_binaries_fixed,scenario_normalized_policy_time,scenario_speedup,cost_deviation_vs_full_milp
15,case118_reduced,cnn,full_milp,1.1210994890425354,2484516.1388037214,True,0.0009467359923239317,ok,optimal,fallback_full_milp,1.1210994890425354,0.0024284730898216367,1.123527962132357,2484516.1388037214,0.0009467359923239317,ok,optimal,True,False,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,1.0021661530609525,0.9978385290160356,0.0
18,case118_reduced,cnn,full_milp,0.8050521250115708,2527318.918515465,True,0.0009393149441627789,ok,optimal,fallback_full_milp,0.8050521250115708,0.0023141400888562202,0.807366265100427,2527318.918515465,0.0009393149441627789,ok,optimal,True,False,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,1.0028745220551065,0.9971337171381958,0.0
19,case118_reduced,cnn,full_milp,0.7949888400034979,2532624.84251878,True,0.0007578620397815663,ok,optimal,fallback_full_milp,0.7949888400034979,0.002314091078005731,0.7973029310815036,2532624.84251878,0.0007578620397815663,ok,optimal,True,False,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,1.0029108472491206,0.99709760119047,0.0
22,case118_reduced,cnn,full_milp,0.8409029970644042,2171614.4080425515,True,0.0007911508849012308,ok,optimal,partial_fix_confident,0.8370417199330404,0.0024092309176921844,0.8394509508507326,2171614.4080425515,0.0007911508849012308,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,0.9982732298270541,1.0017297570658537,0.0
24,case118_reduced,cnn,full_milp,0.8671087300172076,2417923.314668417,True,0.0008905893971618811,ok,optimal,partial_fix_confident,0.8801082730060443,0.0023636510595679283,0.8824719240656123,2417923.314668417,0.0008905893971618811,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,1.0177177250286706,0.9825907276713968,0.0
26,case118_reduced,cnn,full_milp,0.725669073057361,2331748.177662901,True,0.0006939986478210752,ok,optimal,partial_fix_confident,0.759922715020366,0.0024454459780827165,0.7623681609984487,2331748.177662901,0.0006939986478210752,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,1.0505727600963737,0.9518617253204487,0.0
36,case118_reduced,cnn,full_milp,0.7317847569938749,2059919.1090658114,True,0.0008001379903568313,ok,optimal,partial_fix_confident,0.7132770229363814,0.0025083839427679777,0.7157854068791494,2059919.1090658114,0.0008001379903568313,ok,optimal,True,True,False,min_down;min_up;ramp;reserve,0,0.0,0.9781365354199918,1.0223521602437848,0.0
42,case118_reduced,cnn,full_milp,0.9902680410305038,2392958.913094108,True,0.0009106127482917547,ok,optimal,fallback_full_milp,0.9902680410305038,0.0025213779881596565,0.9927894190186635,2392958.913094108,0.0009106127482917547,ok,optimal,True,False,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,1.0025461570844352,0.9974603093668626,0.0
56,case118_reduced,cnn,full_milp,0.9529542949749157,2379630.7141475608,True,0.0007850646327685605,ok,optimal,partial_fix_confident,0.9302412900142372,0.0024966209894046187,0.9327379110036418,2379630.7141475608,0.0007850646327685605,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,0.9787855681244334,1.0216742385323663,0.0
60,case118_reduced,cnn,full_milp,0.7127095760079101,2250821.361028554,True,0.0004866127450942494,ok,optimal,partial_fix_confident,0.6899730879813433,0.002576263970695436,0.6925493519520387,2250821.361028554,0.0004866127450942494,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,0.9717132690025093,1.0291101623285723,0.0
