generator,accuracy
0,0.9711538461538461
1,0.9166666666666666
2,0.8894230769230769
3,0.9583333333333334
4,0.9919871794871795
5,0.9807692307692307
6,0.9535256410256411
7,0.9919871794871795
8,0.9391025641025641
9,0.9951923076923077
10,0.9166666666666666
11,0.9182692307692307
12,1.0
13,0.9887820512820513
14,0.9342948717948718
15,0.9342948717948718
16,0.7467948717948718
17,0.9198717948717948
18,0.7692307692307693
19,0.8092948717948718
20,0.8926282051282052
21,0.8541666666666666
22,0.6939102564102564
23,0.9487179487179487
24,0.9166666666666666
25,0.8782051282051282
26,0.8237179487179487
27,0.9711538461538461
28,0.9711538461538461
29,0.9935897435897436
30,0.75
31,0.9294871794871795
32,0.8044871794871795
33,0.8237179487179487
34,0.9807692307692307
35,0.9631410256410257
36,0.9631410256410257
37,0.7147435897435898
38,0.9487179487179487
39,0.7852564102564102
40,1.0
41,0.7916666666666666
42,0.9615384615384616
43,1.0
44,0.9487179487179487
45,0.9583333333333334
46,0.969551282051282
47,0.7371794871794872
48,0.9855769230769231
49,0.8653846153846154
50,0.9759615384615384
51,0.9326923076923077
52,0.8461538461538461
53,0.9038461538461539
