time,accuracy
0,0.9672364672364673
1,0.9693732193732194
2,0.967948717948718
3,0.9594017094017094
4,0.9351851851851852
5,0.9415954415954416
6,0.9309116809116809
7,0.9195156695156695
8,0.9316239316239316
9,0.9508547008547008
10,0.9572649572649573
11,0.9615384615384616
12,0.9643874643874644
13,0.9636752136752137
14,0.957977207977208
15,0.9494301994301995
16,0.9465811965811965
17,0.9373219373219374
18,0.9123931623931624
19,0.9230769230769231
20,0.9202279202279202
21,0.9223646723646723
22,0.9415954415954416
23,0.9487179487179487
