generator,accuracy
0,1.0
1,1.0
2,1.0
3,1.0
4,0.9951923076923077
5,1.0
6,1.0
7,1.0
8,0.9775641025641025
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.9711538461538461
15,0.9807692307692307
16,0.7564102564102564
17,0.9615384615384616
18,0.8605769230769231
19,0.8285256410256411
20,0.8830128205128205
21,0.8766025641025641
22,0.7211538461538461
23,0.9487179487179487
24,1.0
25,1.0
26,0.8189102564102564
27,0.9759615384615384
28,0.9871794871794872
29,0.9967948717948718
30,0.8141025641025641
31,0.9839743589743589
32,0.8541666666666666
33,0.8205128205128205
34,0.9807692307692307
35,0.967948717948718
36,1.0
37,0.7307692307692307
38,0.9743589743589743
39,0.7996794871794872
40,1.0
41,0.7900641025641025
42,0.9615384615384616
43,1.0
44,0.9487179487179487
45,1.0
46,0.9967948717948718
47,0.7628205128205128
48,0.9855769230769231
49,0.8782051282051282
50,1.0
51,0.9743589743589743
52,0.9246794871794872
53,0.9951923076923077
