scenario_id,model_name,fully_feasible,partially_feasible,demand_coverage_ok,reserve_ok,min_generation_ok,ramp_ok,min_up_ok,min_down_ok,capacity_ratio_min,violation_types
15,henderson_quanv,False,True,False,False,True,False,False,False,0.843686666946038,demand_capacity;min_down;min_up;ramp;reserve
18,henderson_quanv,False,True,False,False,True,False,False,False,0.8425759553890941,demand_capacity;min_down;min_up;ramp;reserve
19,henderson_quanv,False,True,False,False,True,False,False,False,0.851502939393964,demand_capacity;min_down;min_up;ramp;reserve
22,henderson_quanv,False,True,True,False,True,False,False,False,0.933369037245364,min_down;min_up;ramp;reserve
24,henderson_quanv,False,True,False,False,True,False,False,False,0.8570075055429612,demand_capacity;min_down;min_up;ramp;reserve
26,henderson_quanv,False,True,True,False,True,False,False,False,0.9128849733430766,min_down;min_up;ramp;reserve
36,henderson_quanv,False,True,True,False,True,False,False,False,0.9599743954780066,min_down;min_up;ramp;reserve
42,henderson_quanv,False,True,False,False,True,False,False,False,0.8456467086067031,demand_capacity;min_down;min_up;ramp;reserve
56,henderson_quanv,False,True,False,False,True,False,False,False,0.8868674910593018,demand_capacity;min_down;min_up;ramp;reserve
60,henderson_quanv,False,True,False,False,True,False,False,False,0.9035807076128722,demand_capacity;min_down;min_up;ramp;reserve
67,henderson_quanv,False,True,False,False,True,False,False,False,0.8086553204942454,demand_capacity;min_down;min_up;ramp;reserve
75,henderson_quanv,False,True,True,False,True,False,False,False,0.9744984168442176,min_down;min_up;ramp;reserve
85,henderson_quanv,False,True,True,False,True,False,False,False,0.9138647539574573,min_down;min_up;ramp;reserve
98,henderson_quanv,False,True,False,False,True,False,False,False,0.8223329085153259,demand_capacity;min_down;min_up;ramp;reserve
101,henderson_quanv,False,True,False,False,True,False,False,False,0.827107932000626,demand_capacity;min_down;min_up;ramp;reserve
104,henderson_quanv,False,True,False,False,True,False,False,False,0.8489931380105195,demand_capacity;min_down;min_up;ramp;reserve
105,henderson_quanv,False,True,True,False,True,False,False,False,0.94308680799358,min_down;min_up;ramp;reserve
118,henderson_quanv,False,True,True,False,True,False,False,False,0.9501604227987624,min_down;min_up;ramp;reserve
119,henderson_quanv,False,True,True,False,True,False,False,False,0.9514246856702109,min_down;min_up;ramp;reserve
120,henderson_quanv,False,True,True,True,True,False,False,False,1.0143100324139744,min_down;min_up;ramp
131,henderson_quanv,False,True,True,False,True,False,False,False,0.9260586018449568,min_down;min_up;ramp;reserve
133,henderson_quanv,False,True,True,False,True,False,False,False,0.987374563882962,min_down;min_up;ramp;reserve
135,henderson_quanv,False,True,True,True,True,False,False,False,1.022969140093438,min_down;min_up;ramp
141,henderson_quanv,False,True,False,False,True,False,False,False,0.8931457111560733,demand_capacity;min_down;min_up;ramp;reserve
143,henderson_quanv,False,True,False,False,True,False,False,False,0.8648906548729204,demand_capacity;min_down;min_up;ramp;reserve
148,henderson_quanv,False,True,False,False,True,False,False,False,0.8857744980003419,demand_capacity;min_down;min_up;ramp;reserve
