scenario_id,case_name,model_name,baseline_mode,baseline_solve_time,baseline_objective,baseline_feasible,baseline_gap,baseline_status,baseline_termination_condition,policy_mode,policy_solver_time,feasibility_check_time,policy_total_time,policy_objective,policy_gap,policy_status,policy_termination_condition,policy_feasible,prediction_partially_feasible,prediction_fully_feasible,violation_types,num_binaries_fixed,pct_binaries_fixed,scenario_normalized_policy_time,scenario_speedup,cost_deviation_vs_full_milp
15,case118_reduced,henderson_quanv,full_milp,1.1553956370335072,2484516.1388037214,True,0.0009467359923239317,ok,optimal,partial_fix_confident,0.206416004919447,0.002335492055863142,0.20875149697531015,2487449.534499937,0.0009476333921687267,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,640,0.49382716049382713,0.18067533776679495,5.534789708215412,0.0011806708156978237
18,case118_reduced,henderson_quanv,full_milp,0.808552004978992,2527318.918515465,True,0.0009393149441627789,ok,optimal,partial_fix_confident,0.33048995304852724,0.002289864933118224,0.33277981798164546,2529756.3461013385,0.0004702273420792196,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,532,0.4104938271604938,0.41157503281473135,2.429690628124533,0.0009644321371617873
19,case118_reduced,henderson_quanv,full_milp,0.7553346209460869,2532624.84251878,True,0.0007578620397815663,ok,optimal,partial_fix_confident,0.18309729301836342,0.0023109540343284607,0.18540824705269188,2535027.3470421378,0.0009989179194135052,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,574,0.44290123456790126,0.24546504543967626,4.073899801940447,0.000948622347464803
22,case118_reduced,henderson_quanv,full_milp,0.8460222689900547,2171614.4080425515,True,0.0007911508849012308,ok,optimal,partial_fix_confident,0.5777446560095996,0.0022575899492949247,0.5800022459588945,2171655.2283356474,0.0008138681144536402,ok,optimal,True,True,False,min_down;min_up;ramp;reserve,191,0.14737654320987653,0.685563805136331,1.4586534360593035,1.8797210473791583e-05
24,case118_reduced,henderson_quanv,full_milp,0.8698887130012736,2417923.314668417,True,0.0008905893971618811,ok,optimal,partial_fix_confident,0.40944962098728865,0.0022880909964442253,0.4117377119837329,2419726.652877162,0.0009940718808390992,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,425,0.3279320987654321,0.47332228344837723,2.1127253775472514,0.0007458210927555969
26,case118_reduced,henderson_quanv,full_milp,0.7491038129664958,2331748.177662901,True,0.0006939986478210752,ok,optimal,partial_fix_confident,0.43110024090856314,0.0023491859901696444,0.4334494268987328,2333257.164316289,0.0008170178615864124,ok,optimal,True,True,False,min_down;min_up;ramp;reserve,527,0.4066358024691358,0.5786239762713892,1.7282380976397267,0.0006471482074451374
36,case118_reduced,henderson_quanv,full_milp,0.7276869530323893,2059919.1090658114,True,0.0008001379903568313,ok,optimal,partial_fix_confident,0.48818767606280744,0.002318962011486292,0.49050663807429373,2060096.5947538607,0.0009157942928754891,ok,optimal,True,True,False,min_down;min_up;ramp;reserve,130,0.10030864197530864,0.6740627079134416,1.483541498825081,8.61614843360705e-05
42,case118_reduced,henderson_quanv,full_milp,1.0094143289607018,2392958.913094108,True,0.0009106127482917547,ok,optimal,partial_fix_confident,0.3855132780736312,0.0023247540229931474,0.3878380320966244,2393941.9024195517,0.0009210133053150595,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,481,0.37114197530864196,0.3842208506153706,2.602669788478146,0.00041078403814829326
56,case118_reduced,henderson_quanv,full_milp,0.9025917650433257,2379630.7141475608,True,0.0007850646327685605,ok,optimal,partial_fix_confident,0.4810123760253191,0.0023654050892218947,0.483377781114541,2380539.54049712,0.0006721505622230753,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,406,0.3132716049382716,0.5355441959869179,1.8672595231046583,0.00038191907011286114
60,case118_reduced,henderson_quanv,full_milp,0.6940803990000859,2250821.361028554,True,0.0004866127450942494,ok,optimal,partial_fix_confident,0.2878848420223221,0.0024194599827751517,0.29030430200509727,2251876.0505686114,0.0009970347364544985,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,570,0.4398148148148148,0.41825745608623843,2.3908719030553636,0.0004685798519236922
