scenario_id,case_name,model_name,mode,solve_time,objective,gap,solver_status,termination_condition,feasible,predicted_schedule_feasible,num_binaries_fixed,pct_binaries_fixed,baseline_full_milp_time,baseline_full_milp_objective,speedup_vs_full_milp,cost_deviation_vs_full_milp
15,case118_reduced,pqc_qcnn,full_milp,1.266446496010758,2484516.1388037214,0.0009467359923239317,ok,optimal,True,False,0,0.0,1.266446496010758,2484516.1388037214,1.0,0.0
15,case118_reduced,pqc_qcnn,warm_start,1.1231423949939199,2484516.1388037214,0.0009467359923239317,ok,optimal,True,False,0,0.0,1.266446496010758,2484516.1388037214,1.1275921037755983,0.0
15,case118_reduced,pqc_qcnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,1.266446496010758,2484516.1388037214,,
15,case118_reduced,pqc_qcnn,partial_fix_confident,0.1681447850423865,2485725.905494902,0.0009988079161676788,ok,optimal,True,False,994,0.7669753086419753,1.266446496010758,2484516.1388037214,7.531880906633577,0.00048692245233830785
18,case118_reduced,pqc_qcnn,full_milp,0.8674816300044768,2527318.918515465,0.0009393149441627789,ok,optimal,True,False,0,0.0,0.8674816300044768,2527318.918515465,1.0,0.0
18,case118_reduced,pqc_qcnn,warm_start,0.8927622019546106,2527318.918515465,0.0009393149441627789,ok,optimal,True,False,0,0.0,0.8674816300044768,2527318.918515465,0.971682748334568,0.0
18,case118_reduced,pqc_qcnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.8674816300044768,2527318.918515465,,
18,case118_reduced,pqc_qcnn,partial_fix_confident,0.10106874402845278,,,warning,infeasible,False,False,972,0.75,0.8674816300044768,2527318.918515465,8.583085090681092,
19,case118_reduced,pqc_qcnn,full_milp,0.8328541429946199,2532624.84251878,0.0007578620397815663,ok,optimal,True,False,0,0.0,0.8328541429946199,2532624.84251878,1.0,0.0
19,case118_reduced,pqc_qcnn,warm_start,0.8533057409804314,2532624.84251878,0.0007578620397815663,ok,optimal,True,False,0,0.0,0.8328541429946199,2532624.84251878,0.9760325086266113,0.0
19,case118_reduced,pqc_qcnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.8328541429946199,2532624.84251878,,
19,case118_reduced,pqc_qcnn,partial_fix_confident,0.09918156801722944,,,warning,infeasible,False,False,1003,0.7739197530864198,0.8328541429946199,2532624.84251878,8.397267351630695,
22,case118_reduced,pqc_qcnn,full_milp,0.943877756013535,2171614.4080425515,0.0007911508849012308,ok,optimal,True,False,0,0.0,0.943877756013535,2171614.4080425515,1.0,0.0
22,case118_reduced,pqc_qcnn,warm_start,0.9557664199965075,2171614.4080425515,0.0007911508849012308,ok,optimal,True,False,0,0.0,0.943877756013535,2171614.4080425515,0.9875611198152202,0.0
22,case118_reduced,pqc_qcnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.943877756013535,2171614.4080425515,,
22,case118_reduced,pqc_qcnn,partial_fix_confident,0.2856358830467798,2171547.013457198,0.0006426342773594004,ok,optimal,True,False,1043,0.8047839506172839,0.943877756013535,2171614.4080425515,3.3044789259161536,-3.1034324097191096e-05
24,case118_reduced,pqc_qcnn,full_milp,0.9953545900061727,2417923.314668417,0.0008905893971618811,ok,optimal,True,False,0,0.0,0.9953545900061727,2417923.314668417,1.0,0.0
24,case118_reduced,pqc_qcnn,warm_start,1.0118590170168318,2417923.314668417,0.0008905893971618811,ok,optimal,True,False,0,0.0,0.9953545900061727,2417923.314668417,0.9836890053524279,0.0
24,case118_reduced,pqc_qcnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.9953545900061727,2417923.314668417,,
24,case118_reduced,pqc_qcnn,partial_fix_confident,0.10976549301994964,,,warning,infeasible,False,False,1012,0.7808641975308642,0.9953545900061727,2417923.314668417,9.068010014998695,
26,case118_reduced,pqc_qcnn,full_milp,0.880432732985355,2331748.177662901,0.0006939986478210752,ok,optimal,True,False,0,0.0,0.880432732985355,2331748.177662901,1.0,0.0
26,case118_reduced,pqc_qcnn,warm_start,0.8331050319829956,2331748.177662901,0.0006939986478210752,ok,optimal,True,False,0,0.0,0.880432732985355,2331748.177662901,1.0568088046350024,0.0
26,case118_reduced,pqc_qcnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.880432732985355,2331748.177662901,,
26,case118_reduced,pqc_qcnn,partial_fix_confident,0.17225184198468924,2332864.984738682,0.0009053958456201962,ok,optimal,True,False,1028,0.7932098765432098,0.880432732985355,2331748.177662901,5.11131099000737,0.0004789569844974367
36,case118_reduced,pqc_qcnn,full_milp,0.8173942629946396,2059919.1090658114,0.0008001379903568313,ok,optimal,True,False,0,0.0,0.8173942629946396,2059919.1090658114,1.0,0.0
36,case118_reduced,pqc_qcnn,warm_start,0.811637184000574,2059919.1090658114,0.0008001379903568313,ok,optimal,True,False,0,0.0,0.8173942629946396,2059919.1090658114,1.007093168114463,0.0
36,case118_reduced,pqc_qcnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.8173942629946396,2059919.1090658114,,
36,case118_reduced,pqc_qcnn,partial_fix_confident,0.2683196850121021,2061007.4197684014,0.000802964040639217,ok,optimal,True,False,1029,0.7939814814814815,0.8173942629946396,2059919.1090658114,3.046344747154024,0.0005283269123531729
42,case118_reduced,pqc_qcnn,full_milp,1.1210555620491505,2392958.913094108,0.0009106127482917547,ok,optimal,True,False,0,0.0,1.1210555620491505,2392958.913094108,1.0,0.0
42,case118_reduced,pqc_qcnn,warm_start,1.1379044270142913,2392958.913094108,0.0009106127482917547,ok,optimal,True,False,0,0.0,1.1210555620491505,2392958.913094108,0.9851930754770416,0.0
42,case118_reduced,pqc_qcnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,1.1210555620491505,2392958.913094108,,
42,case118_reduced,pqc_qcnn,partial_fix_confident,0.10423580900533125,,,warning,infeasible,False,False,1026,0.7916666666666666,1.1210555620491505,2392958.913094108,10.754994591079663,
56,case118_reduced,pqc_qcnn,full_milp,1.0358096369891427,2379630.7141475608,0.0007850646327685605,ok,optimal,True,False,0,0.0,1.0358096369891427,2379630.7141475608,1.0,0.0
56,case118_reduced,pqc_qcnn,warm_start,1.0857698350446299,2379630.7141475608,0.0007850646327685605,ok,optimal,True,False,0,0.0,1.0358096369891427,2379630.7141475608,0.9539863823409374,0.0
56,case118_reduced,pqc_qcnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,1.0358096369891427,2379630.7141475608,,
56,case118_reduced,pqc_qcnn,partial_fix_confident,0.4135267279925756,2379859.807436855,0.0003274274070702553,ok,optimal,True,False,1027,0.7924382716049383,1.0358096369891427,2379630.7141475608,2.5048190766709992,9.627262244190131e-05
60,case118_reduced,pqc_qcnn,full_milp,0.7840298190130852,2250821.361028554,0.0004866127450942494,ok,optimal,True,False,0,0.0,0.7840298190130852,2250821.361028554,1.0,0.0
60,case118_reduced,pqc_qcnn,warm_start,0.7862779919523746,2250821.361028554,0.0004866127450942494,ok,optimal,True,False,0,0.0,0.7840298190130852,2250821.361028554,0.9971407403459087,0.0
60,case118_reduced,pqc_qcnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.7840298190130852,2250821.361028554,,
