generator,accuracy
0,1.0
1,1.0
2,0.9983974358974359
3,0.9983974358974359
4,0.9951923076923077
5,1.0
6,0.9983974358974359
7,0.9983974358974359
8,0.9775641025641025
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.9711538461538461
15,1.0
16,0.8477564102564102
17,0.9599358974358975
18,0.8733974358974359
19,0.8317307692307693
20,0.9086538461538461
21,0.8910256410256411
22,0.7612179487179487
23,0.9535256410256411
24,0.9983974358974359
25,0.9983974358974359
26,0.9038461538461539
27,0.9759615384615384
28,1.0
29,0.9967948717948718
30,0.8301282051282052
31,0.9823717948717948
32,0.8573717948717948
33,0.8782051282051282
34,0.9807692307692307
35,0.9615384615384616
36,1.0
37,0.8349358974358975
38,0.9743589743589743
39,0.8253205128205128
40,1.0
41,0.8076923076923077
42,0.9567307692307693
43,1.0
44,0.9487179487179487
45,1.0
46,0.9951923076923077
47,0.7836538461538461
48,0.9855769230769231
49,0.8942307692307693
50,1.0
51,0.9727564102564102
52,0.9278846153846154
53,0.9951923076923077
