scenario_id,model_name,fully_feasible,partially_feasible,demand_coverage_ok,reserve_ok,min_generation_ok,ramp_ok,min_up_ok,min_down_ok,capacity_ratio_min,violation_types
15,pqc_qcnn,False,False,True,False,True,False,False,True,0.9275860039601383,min_up;ramp;reserve
18,pqc_qcnn,False,False,False,False,True,False,False,True,0.895105554204787,demand_capacity;min_up;ramp;reserve
19,pqc_qcnn,False,False,False,False,True,False,False,True,0.9014099830575845,demand_capacity;min_up;ramp;reserve
22,pqc_qcnn,False,False,True,False,True,False,False,True,0.933369037245364,min_up;ramp;reserve
24,pqc_qcnn,False,False,False,False,True,False,False,True,0.8144723590589135,demand_capacity;min_up;ramp;reserve
26,pqc_qcnn,False,False,True,False,True,False,True,False,0.9128849733430766,min_down;ramp;reserve
36,pqc_qcnn,False,False,True,False,True,False,False,True,0.9483846155890875,min_up;ramp;reserve
42,pqc_qcnn,False,False,True,False,True,False,False,True,0.9201146628087234,min_up;ramp;reserve
56,pqc_qcnn,False,False,False,False,True,False,False,False,0.8948694665723703,demand_capacity;min_down;min_up;ramp;reserve
60,pqc_qcnn,False,False,False,False,True,False,False,False,0.8987845986105449,demand_capacity;min_down;min_up;ramp;reserve
67,pqc_qcnn,False,False,False,False,True,False,False,True,0.8976301523146039,demand_capacity;min_up;ramp;reserve
75,pqc_qcnn,False,False,False,False,True,False,False,True,0.8903212814931201,demand_capacity;min_up;ramp;reserve
85,pqc_qcnn,False,False,False,False,True,False,False,True,0.814625204624605,demand_capacity;min_up;ramp;reserve
98,pqc_qcnn,False,False,False,False,True,False,True,True,0.8842201210162105,demand_capacity;ramp;reserve
101,pqc_qcnn,False,False,False,False,True,False,True,True,0.8933889690127811,demand_capacity;ramp;reserve
104,pqc_qcnn,False,False,True,False,True,False,True,True,0.9318831341960755,ramp;reserve
105,pqc_qcnn,False,False,True,False,True,False,False,True,0.9176216790079408,min_up;ramp;reserve
118,pqc_qcnn,False,False,False,False,True,False,False,True,0.8950058646174193,demand_capacity;min_up;ramp;reserve
119,pqc_qcnn,False,False,False,False,True,False,False,True,0.8796327057486649,demand_capacity;min_up;ramp;reserve
120,pqc_qcnn,False,False,True,False,True,False,False,True,0.9134764807166711,min_up;ramp;reserve
131,pqc_qcnn,False,True,True,False,True,False,False,False,0.97912559023238,min_down;min_up;ramp;reserve
133,pqc_qcnn,False,False,False,False,True,False,False,True,0.8891999609785264,demand_capacity;min_up;ramp;reserve
135,pqc_qcnn,False,False,True,False,True,False,False,True,0.9182050790855384,min_up;ramp;reserve
141,pqc_qcnn,False,True,True,False,True,False,False,True,0.9594327664361576,min_up;ramp;reserve
143,pqc_qcnn,False,False,False,False,True,False,False,False,0.8648906548729204,demand_capacity;min_down;min_up;ramp;reserve
148,pqc_qcnn,False,False,False,False,True,False,False,True,0.8950560905969576,demand_capacity;min_up;ramp;reserve
