generator,accuracy
0,1.0
1,1.0
2,1.0
3,1.0
4,0.9951923076923077
5,1.0
6,1.0
7,1.0
8,0.9839743589743589
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.9711538461538461
15,1.0
16,0.8365384615384616
17,0.9615384615384616
18,0.8766025641025641
19,0.8509615384615384
20,0.905448717948718
21,0.8846153846153846
22,0.7564102564102564
23,0.9519230769230769
24,1.0
25,1.0
26,0.8990384615384616
27,0.9759615384615384
28,1.0
29,0.9967948717948718
30,0.8317307692307693
31,0.9839743589743589
32,0.8477564102564102
33,0.8846153846153846
34,0.9807692307692307
35,0.967948717948718
36,1.0
37,0.8477564102564102
38,0.9743589743589743
39,0.8317307692307693
40,1.0
41,0.7980769230769231
42,0.9615384615384616
43,1.0
44,0.9487179487179487
45,1.0
46,0.9967948717948718
47,0.780448717948718
48,0.9855769230769231
49,0.8958333333333334
50,1.0
51,0.9743589743589743
52,0.9326923076923077
53,0.9951923076923077
