scenario_id,case_name,model_name,mode,solve_time,objective,gap,solver_status,termination_condition,feasible,predicted_schedule_feasible,num_binaries_fixed,pct_binaries_fixed,baseline_full_milp_time,baseline_full_milp_objective,speedup_vs_full_milp,cost_deviation_vs_full_milp
15,case24,cnn,full_milp,0.4249884709715843,1105863.0940101105,0.0009012564406593105,ok,optimal,True,False,0,0.0,0.4249884709715843,1105863.0940101105,1.0,0.0
15,case24,cnn,warm_start,0.3637799280695617,1105863.0940101105,0.0009012564406593105,ok,optimal,True,False,0,0.0,0.4249884709715843,1105863.0940101105,1.1682570647227088,0.0
15,case24,cnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.4249884709715843,1105863.0940101105,,
15,case24,cnn,partial_fix_confident,0.36219323496334255,1105863.0940101105,0.0009012564406593105,ok,optimal,True,False,0,0.0,0.4249884709715843,1105863.0940101105,1.17337495553885,0.0
18,case24,cnn,full_milp,0.15083893400151283,1121890.7955390853,0.0009989904104275057,ok,optimal,True,False,0,0.0,0.15083893400151283,1121890.7955390853,1.0,0.0
18,case24,cnn,warm_start,0.1516611740225926,1121890.7955390853,0.0009989904104275057,ok,optimal,True,False,0,0.0,0.15083893400151283,1121890.7955390853,0.9945784408806086,0.0
18,case24,cnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.15083893400151283,1121890.7955390853,,
18,case24,cnn,partial_fix_confident,0.15307500096969306,1121890.7955390853,0.0009989904104275057,ok,optimal,True,False,0,0.0,0.15083893400151283,1121890.7955390853,0.9853923439228137,0.0
22,case24,cnn,full_milp,0.5241930629126728,984879.5007935697,0.0005835234840496078,ok,optimal,True,False,0,0.0,0.5241930629126728,984879.5007935697,1.0,0.0
22,case24,cnn,warm_start,0.21073249401524663,984879.5007935697,0.0005835234840496078,ok,optimal,True,False,0,0.0,0.5241930629126728,984879.5007935697,2.487480942899803,0.0
22,case24,cnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.5241930629126728,984879.5007935697,,
22,case24,cnn,partial_fix_confident,0.21339009795337915,984879.5007935697,0.0005835234840496078,ok,optimal,True,False,0,0.0,0.5241930629126728,984879.5007935697,2.456501346314565,0.0
26,case24,cnn,full_milp,0.41464357695076615,1046895.3351790273,0.0005365136221135522,ok,optimal,True,False,0,0.0,0.41464357695076615,1046895.3351790273,1.0,0.0
26,case24,cnn,warm_start,0.4174400079064071,1046895.3351790273,0.0005365136221135522,ok,optimal,True,False,0,0.0,0.41464357695076615,1046895.3351790273,0.9933009991791013,0.0
26,case24,cnn,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.41464357695076615,1046895.3351790273,,
