scenario_id,case_name,model_name,baseline_mode,baseline_solve_time,baseline_objective,baseline_feasible,baseline_gap,baseline_status,baseline_termination_condition,policy_mode,policy_solver_time,feasibility_check_time,policy_total_time,policy_objective,policy_gap,policy_status,policy_termination_condition,policy_feasible,prediction_partially_feasible,prediction_fully_feasible,violation_types,num_binaries_fixed,pct_binaries_fixed,scenario_normalized_policy_time,scenario_speedup,cost_deviation_vs_full_milp
15,case24,cnn,full_milp,0.4474237379617989,1105863.0940101105,True,0.0009012564406593105,ok,optimal,partial_fix_confident,0.386781333014369,0.001610106904990971,0.38839143991936,1105863.0940101105,0.0009012564406593105,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,0.8680617655394066,1.1519917587645483,0.0
18,case24,cnn,full_milp,0.16389103105757385,1121890.7955390853,True,0.0009989904104275057,ok,optimal,partial_fix_confident,0.15864579903427511,0.0013995590852573514,0.16004535811953247,1121890.7955390853,0.0009989904104275057,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,0.9765351836935455,1.0240286440245845,0.0
22,case24,cnn,full_milp,0.2261042030295357,984879.5007935697,True,0.0005835234840496078,ok,optimal,partial_fix_confident,0.20818749896716326,0.001375343999825418,0.20956284296698868,984879.5007935697,0.0005835234840496078,ok,optimal,True,True,False,min_down;min_up;ramp;reserve,0,0.0,0.926841872725443,1.07893269545476,0.0
26,case24,cnn,full_milp,0.4200597479939461,1046895.3351790273,True,0.0005365136221135522,ok,optimal,partial_fix_confident,0.41805428301449865,0.0014409939758479595,0.4194952769903466,1046895.3351790273,0.0005365136221135522,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,0.9986562125833404,1.0013455956111097,0.0
30,case24,cnn,full_milp,0.3314630939858034,968395.2409166773,True,0.00011905319179458457,ok,optimal,partial_fix_confident,0.34484250703826547,0.0014152680523693562,0.3462577750906348,968395.2409166773,0.00011905319179458457,ok,optimal,True,True,False,min_down;min_up;ramp;reserve,0,0.0,1.044634474767393,0.957272638568307,0.0
31,case24,cnn,full_milp,0.25782436004374176,1104233.2000561696,True,0.0005425200545702993,ok,optimal,partial_fix_confident,0.2561854920350015,0.0013880450278520584,0.2575735370628536,1104233.2000561696,0.0005425200545702993,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,0.9990271556153746,1.0009737917324442,0.0
39,case24,cnn,full_milp,0.1755278529599309,897474.7097968181,True,0.0008209988342477008,ok,optimal,partial_fix_confident,0.15668207209091634,0.0014004419790580869,0.15808251406997442,897474.7097968181,0.0008209988342477008,ok,optimal,True,True,False,ramp;reserve,0,0.0,0.900612133084435,1.1103559049056773,0.0
40,case24,cnn,full_milp,0.19463251798879355,932345.383621151,True,1.833305714555856e-05,ok,optimal,partial_fix_confident,0.18996869202237576,0.0014741419581696391,0.1914428339805454,932345.383621151,1.833305714555856e-05,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,0.9836117620980899,1.0166612870376348,0.0
70,case24,cnn,full_milp,0.14822510804515332,1000826.6495557587,True,0.000980972792568323,ok,optimal,partial_fix_confident,0.14915220206603408,0.0014638520078733563,0.15061605407390743,1000826.6495557587,0.000980972792568323,ok,optimal,True,True,False,min_down;min_up;ramp;reserve,0,0.0,1.0161305062299282,0.9841255565785778,0.0
73,case24,cnn,full_milp,0.24556884297635406,967047.9321756908,True,0.00087307234244936,ok,optimal,partial_fix_confident,0.24778655706904829,0.0014749719994142652,0.24926152906846255,967047.9321756908,0.00087307234244936,ok,optimal,True,True,False,min_down;min_up;ramp;reserve,0,0.0,1.0150372744658982,0.9851854953072432,0.0
76,case24,cnn,full_milp,0.18607350601814687,1061110.8372202846,True,0.0006037364038575484,ok,optimal,partial_fix_confident,0.18700917600654066,0.0013782419264316559,0.1883874179329723,1061110.8372202846,0.0006037364038575484,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,1.012435472219241,0.9877172693366989,0.0
77,case24,cnn,full_milp,0.3636017650132999,911321.727012664,True,0.0002233401552388948,ok,optimal,partial_fix_confident,0.3648637810256332,0.0013633699854835868,0.3662271510111168,911321.727012664,0.0002233401552388948,ok,optimal,True,True,False,min_down;min_up;ramp;reserve,0,0.0,1.0072204984970876,0.9928312633550831,0.0
80,case24,cnn,full_milp,0.18333055498078465,935933.5554977107,True,0.0009980943602037205,ok,optimal,partial_fix_confident,0.18977457901928574,0.0013832791009917855,0.19115785812027752,935933.5554977107,0.0009980943602037205,ok,optimal,True,True,False,min_down;min_up;ramp;reserve,0,0.0,1.0426950277890845,0.9590531970986623,0.0
83,case24,cnn,full_milp,0.20522073900792748,1082068.4442982038,True,0.0004455271049051256,ok,optimal,partial_fix_confident,0.2057263000169769,0.001367195975035429,0.20709349599201232,1082068.4442982038,0.0004455271049051256,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,1.0091255737267981,0.9909569492990882,0.0
96,case24,cnn,full_milp,0.21166071097832173,983613.6769648908,True,0.000837364709852973,ok,optimal,partial_fix_confident,0.19838323502335697,0.0013465459924191236,0.1997297810157761,983613.6769648908,0.000837364709852973,ok,optimal,True,True,False,demand_capacity;min_down;min_up;ramp;reserve,0,0.0,0.9436318157139347,1.0597353579514677,0.0
