time,accuracy
0,0.9527777777777777
1,0.9722222222222222
2,0.9722222222222222
3,0.95
4,0.925
5,0.9361111111111111
6,0.9194444444444444
7,0.9027777777777778
8,0.9333333333333333
9,0.9416666666666667
10,0.9472222222222222
11,0.9527777777777777
12,0.9611111111111111
13,0.9611111111111111
14,0.9611111111111111
15,0.9388888888888889
16,0.9305555555555556
17,0.9222222222222223
18,0.9055555555555556
19,0.9277777777777778
20,0.9388888888888889
21,0.9333333333333333
22,0.9444444444444444
23,0.9444444444444444
