scenario_id,case_name,model_name,baseline_mode,baseline_solve_time,baseline_objective,baseline_feasible,baseline_gap,baseline_status,baseline_termination_condition,policy_mode,policy_solver_time,feasibility_check_time,policy_total_time,policy_objective,policy_gap,policy_status,policy_termination_condition,policy_feasible,prediction_partially_feasible,prediction_fully_feasible,violation_types,num_binaries_fixed,pct_binaries_fixed,scenario_normalized_policy_time,scenario_speedup,cost_deviation_vs_full_milp
15,case24,henderson_quanv,full_milp,0.4256466809893027,1105863.0940101105,True,0.0009012564406593105,ok,optimal,partial_fix_confident,0.07050149596761912,0.0014247919898480177,0.07192628795746714,1105738.4563381786,0.0005495321959368156,ok,optimal,True,True,False,demand_capacity;min_up;ramp;reserve,452,0.7847222222222222,0.16898120241486103,5.917817992233999,-0.00011270624058889162
18,case24,henderson_quanv,full_milp,0.15461250394582748,1121890.7955390853,True,0.0009989904104275057,ok,optimal,partial_fix_confident,0.04322573391254991,0.001369226025417447,0.04459495993796736,,,warning,infeasible,False,True,False,demand_capacity;min_up;ramp;reserve,447,0.7760416666666666,0.2884304878316463,3.467039866408606,
22,case24,henderson_quanv,full_milp,0.20959284692071378,984879.5007935697,True,0.0005835234840496078,ok,optimal,partial_fix_confident,0.06604420905932784,0.001333146938122809,0.06737735599745065,984656.3183340369,0.0009701317924734643,ok,optimal,True,True,False,min_up;ramp;reserve,435,0.7552083333333334,0.32146782195739065,3.110731251143843,-0.0002266088992135945
26,case24,henderson_quanv,full_milp,0.40973378100898117,1046895.3351790273,True,0.0005365136221135522,ok,optimal,partial_fix_confident,0.07456871191971004,0.0013357800198718905,0.07590449193958193,1047079.0707672602,0.000553117454256005,ok,optimal,True,True,False,demand_capacity;ramp;reserve,450,0.78125,0.18525319477604446,5.398017568382105,0.0001755052124684938
30,case24,henderson_quanv,full_milp,0.3259820069652051,968395.2409166773,True,0.00011905319179458457,ok,optimal,partial_fix_confident,0.06826948106754571,0.0013188979355618358,0.06958837900310755,969432.1029284406,0.0007518666749837173,ok,optimal,True,True,False,min_down;ramp;reserve,439,0.7621527777777778,0.21347306758110526,4.684431677171959,0.001070701267368662
31,case24,henderson_quanv,full_milp,0.24080688890535384,1104233.2000561696,True,0.0005425200545702993,ok,optimal,partial_fix_confident,0.04064689902588725,0.001338234986178577,0.04198513401206583,,,warning,infeasible,False,True,False,demand_capacity;min_up;ramp;reserve,444,0.7708333333333334,0.17435188089061507,5.735527456841032,
39,case24,henderson_quanv,full_milp,0.15210435003973544,897474.7097968181,True,0.0008209988342477008,ok,optimal,partial_fix_confident,0.061381694045849144,0.001309082959778607,0.06269077700562775,898074.6992940883,0.0006034418990108579,ok,optimal,True,True,False,min_down;ramp,425,0.7378472222222222,0.41215637152553847,2.4262635957771113,0.0006685308128694074
40,case24,henderson_quanv,full_milp,0.18352321500424296,932345.383621151,True,1.833305714555856e-05,ok,optimal,partial_fix_confident,0.07133867603261024,0.0013247969327494502,0.07266347296535969,932385.1302069569,0.0002651540497010637,ok,optimal,True,True,False,min_down;ramp;reserve,424,0.7361111111111112,0.395936137908655,2.525659833128711,4.2630753049398924e-05
70,case24,henderson_quanv,full_milp,0.14254490204621106,1000826.6495557587,True,0.000980972792568323,ok,optimal,partial_fix_confident,0.08490189199801534,0.0013350780354812741,0.08623697003349662,1000832.171948989,0.0008282615592945346,ok,optimal,True,True,False,ramp;reserve,443,0.7690972222222222,0.6049810887346908,1.6529442301931876,5.517831917045849e-06
73,case24,henderson_quanv,full_milp,0.24587208894081414,967047.9321756908,True,0.00087307234244936,ok,optimal,partial_fix_confident,0.07124890305567533,0.001345055061392486,0.07259395811706781,966676.6762524175,0.0008693986901688271,ok,optimal,True,True,False,min_down;min_up;ramp;reserve,414,0.71875,0.29525091046240104,3.386949758880916,-0.0003839064341288782
76,case24,henderson_quanv,full_milp,0.18520454701501876,1061110.8372202846,True,0.0006037364038575484,ok,optimal,partial_fix_confident,0.07172156008891761,0.0013698580441996455,0.07309141813311726,1061075.8500996905,0.00022660715973724338,ok,optimal,True,True,False,demand_capacity;ramp;reserve,443,0.7690972222222222,0.3946523954791999,2.533875408980521,-3.297216404441223e-05
77,case24,henderson_quanv,full_milp,0.35807182895950973,911321.727012664,True,0.0002233401552388948,ok,optimal,partial_fix_confident,0.06337124202400446,0.0013305790489539504,0.06470182107295841,912492.0328073578,0.0009911868009981513,ok,optimal,True,True,False,min_down;ramp;reserve,432,0.75,0.1806950891975219,5.534184711056964,0.0012841851126826212
80,case24,henderson_quanv,full_milp,0.18138966301921755,935933.5554977107,True,0.0009980943602037205,ok,optimal,partial_fix_confident,0.07142165908589959,0.0014293160056695342,0.07285097509156913,935401.4642451558,0.0006420950983948083,ok,optimal,True,True,False,min_down;ramp,423,0.734375,0.40162693881762623,2.489872823132732,-0.0005685139179265254
83,case24,henderson_quanv,full_milp,0.2066663260338828,1082068.4442982038,True,0.0004455271049051256,ok,optimal,partial_fix_confident,0.07694381498731673,0.001349074998870492,0.07829288998618722,1082661.6687564305,0.0009861923707377462,ok,optimal,True,True,False,demand_capacity;ramp;reserve,427,0.7413194444444444,0.3788371888575169,2.639656373271491,0.0005482319176320203
96,case24,henderson_quanv,full_milp,0.19557333295233548,983613.6769648908,True,0.000837364709852973,ok,optimal,partial_fix_confident,0.07088830298744142,0.0013247310416772962,0.07221303402911872,984491.4304744655,0.0009850193294017424,ok,optimal,True,True,False,demand_capacity;min_up;ramp;reserve,441,0.765625,0.3692376304018823,2.7082830071019277,0.0008923762754937952
