scenario_id,case_name,model_name,baseline_mode,baseline_solve_time,baseline_objective,baseline_feasible,baseline_gap,baseline_status,baseline_termination_condition,policy_mode,policy_solver_time,feasibility_check_time,policy_total_time,policy_objective,policy_gap,policy_status,policy_termination_condition,policy_feasible,prediction_partially_feasible,prediction_fully_feasible,violation_types,num_binaries_fixed,pct_binaries_fixed,scenario_normalized_policy_time,scenario_speedup,cost_deviation_vs_full_milp
15,case24,pqc_qcnn,full_milp,0.4273564890027046,1105863.0940101105,True,0.0009012564406593105,ok,optimal,partial_fix_confident,0.06702555192168802,0.0015085070626810193,0.06853405898436904,1106051.2497262973,0.0006511350909699927,ok,optimal,True,True,False,ramp;reserve,457,0.7934027777777778,0.16036742332918058,6.235680409651124,0.00017014377024244447
18,case24,pqc_qcnn,full_milp,0.1515551519114524,1121890.7955390853,True,0.0009989904104275057,ok,optimal,partial_fix_confident,0.041357822017744184,0.0013954080641269684,0.04275323008187115,,,warning,infeasible,False,True,False,min_down;ramp;reserve,460,0.7986111111111112,0.28209684423562287,3.5448819100037317,
22,case24,pqc_qcnn,full_milp,0.2159456160152331,984879.5007935697,True,0.0005835234840496078,ok,optimal,partial_fix_confident,0.057460222975350916,0.0013679489493370056,0.05882817192468792,984788.8656450914,0.0008197565969558214,ok,optimal,True,True,False,ramp;reserve,473,0.8211805555555556,0.27242123739403956,3.670785763863062,-9.202663717266235e-05
26,case24,pqc_qcnn,full_milp,0.4123895619995892,1046895.3351790273,True,0.0005365136221135522,ok,optimal,partial_fix_confident,0.06562263192608953,0.0014164410531520844,0.06703907297924161,1046896.617160499,0.0008059444026639074,ok,optimal,True,True,False,min_up;ramp;reserve,459,0.796875,0.16256248740676998,6.151480676459891,1.224555529683313e-06
30,case24,pqc_qcnn,full_milp,0.32992875308264047,968395.2409166773,True,0.00011905319179458457,ok,optimal,partial_fix_confident,0.06027339701540768,0.0013259639963507652,0.06159936101175845,969534.7600764609,0.0009365011030975625,ok,optimal,True,True,False,demand_capacity;ramp;reserve,481,0.8350694444444444,0.1867050399100228,5.356041810558096,0.0011767087565454648
31,case24,pqc_qcnn,full_milp,0.2447161499876529,1104233.2000561696,True,0.0005425200545702993,ok,optimal,partial_fix_confident,0.061503220931626856,0.0013731709914281964,0.06287639192305505,1104874.9973467789,5.484793083798496e-05,ok,optimal,True,True,False,demand_capacity;ramp;reserve,461,0.8003472222222222,0.256936013116533,3.8920196039099086,0.0005812153543079229
39,case24,pqc_qcnn,full_milp,0.15320795204024762,897474.7097968181,True,0.0008209988342477008,ok,optimal,partial_fix_confident,0.055224930052645504,0.001387234078720212,0.056612164131365716,897542.6007128179,0.0006247641123055176,ok,optimal,True,True,False,ramp;reserve,477,0.828125,0.36951191747862894,2.7062726604963587,7.564660625940214e-05
40,case24,pqc_qcnn,full_milp,0.1820793489459902,932345.383621151,True,1.833305714555856e-05,ok,optimal,partial_fix_confident,0.06158311106264591,0.0013118190690875053,0.06289493013173342,932725.092072903,0.0005012058746094821,ok,optimal,True,True,False,ramp;reserve,481,0.8350694444444444,0.3454259392721675,2.894976567501149,0.00040726157754673826
70,case24,pqc_qcnn,full_milp,0.14589832501951605,1000826.6495557587,True,0.000980972792568323,ok,optimal,partial_fix_confident,0.06412425497546792,0.0013941919896751642,0.06551844696514308,1001073.6242175678,0.0006364754425462604,ok,optimal,True,True,False,demand_capacity;ramp;reserve,467,0.8107638888888888,0.4490692196526521,2.2268281953804006,0.00024677066894530155
73,case24,pqc_qcnn,full_milp,0.2531475620344281,967047.9321756908,True,0.00087307234244936,ok,optimal,partial_fix_confident,0.061495529022067785,0.0013465170050039887,0.06284204602707177,966595.9547224002,0.0009742962188976562,ok,optimal,True,True,False,ramp;reserve,476,0.8263888888888888,0.24824274633356036,4.028315085816501,-0.00046737854273027615
