number,value,datetime_start,datetime_complete,duration,params_batch_size,params_classical_hidden_dim,params_conv_channels_key,params_data_reuploading,params_dropout,params_lr,params_n_qubits,params_quantum_layers,params_use_cnn_head,params_weight_decay,user_attrs_best_val_bit_accuracy,user_attrs_best_val_loss,state
0,0.13091078400611877,2026-04-26 06:05:53.423759,2026-04-26 06:06:23.503011,0 days 00:00:30.079252,32,64,32,True,0.389468448256698,0.0016967533607196547,6,1,True,7.068974950624599e-07,0.9498456790123457,0.13091078400611877,COMPLETE
1,0.12747885584831237,2026-04-26 06:06:23.503213,2026-04-26 06:07:24.222547,0 days 00:01:00.719334,8,512,16,False,0.33293907184076144,0.00028180680291847244,6,3,True,2.458603276328005e-07,0.9510185185185185,0.12747885584831237,COMPLETE
2,0.1335479909181595,2026-04-26 06:07:24.222785,2026-04-26 06:09:36.901288,0 days 00:02:12.678503,8,64,16_32,True,0.16386561576714254,0.00037507963596256056,8,4,True,1.217295809836997e-06,0.9492592592592592,0.1335479909181595,COMPLETE
3,0.17248918116092682,2026-04-26 06:09:36.901614,2026-04-26 06:10:55.753619,0 days 00:01:18.852005,32,128,32_64,False,0.07224542260010827,0.0002879775265707035,6,4,True,1.998634077852888e-06,0.9260493827160494,0.17248918116092682,COMPLETE
4,,2026-04-26 06:10:55.753981,2026-04-26 06:10:55.754501,0 days 00:00:00.000520,32,128,32_64,True,0.31444289849006707,0.00021775224101934097,4,1,True,2.0319809838424948e-07,,,PRUNED
5,0.17803382635116577,2026-04-26 06:10:55.754600,2026-04-26 06:11:22.198253,0 days 00:00:26.443653,8,64,16,False,0.1277377336647556,0.00015033346993841172,6,1,True,2.2410971619109486e-06,0.9243827160493827,0.17803382635116577,COMPLETE
6,0.1247856068611145,2026-04-26 06:11:22.198533,2026-04-26 06:11:58.781791,0 days 00:00:36.583258,16,512,,False,0.13471934502902516,0.0009836162684900027,8,1,False,0.00011129571947046003,0.9520679012345679,0.1247856068611145,COMPLETE
7,0.6737932443618775,2026-04-26 06:11:58.782147,2026-04-26 06:12:06.893069,0 days 00:00:08.110922,16,64,16,False,0.2758104766433075,0.00018095073787215783,8,1,True,5.804314717414068e-05,,,PRUNED
8,0.13134638965129852,2026-04-26 06:12:06.893234,2026-04-26 06:12:53.701265,0 days 00:00:46.808031,32,512,32,True,0.3604802484927911,0.0014189619335954842,4,4,True,3.699359899959751e-05,0.9494135802469136,0.13134638965129852,COMPLETE
9,0.5403365445137024,2026-04-26 06:12:53.702481,2026-04-26 06:12:59.593919,0 days 00:00:05.891438,16,128,16,False,0.08278616873983237,0.00034926963343542334,10,1,True,1.1502956321912726e-06,,,PRUNED
10,0.19866168320178987,2026-04-26 06:12:59.594071,2026-04-26 06:13:10.466349,0 days 00:00:10.872278,16,256,,False,0.20414701324863965,0.0008261687424094584,8,2,False,0.0007224310315956236,,,PRUNED
11,0.12532883405685424,2026-04-26 06:13:10.466661,2026-04-26 06:14:31.761162,0 days 00:01:21.294501,8,512,,False,0.23746849241242154,0.0010432846374067118,10,3,False,0.0004475401934446424,0.9519753086419753,0.12532883405685424,COMPLETE
12,0.17212584674358367,2026-04-26 06:14:31.761588,2026-04-26 06:15:08.129111,0 days 00:00:36.367523,16,512,,False,0.2517436712992555,0.0008992258227556847,10,3,False,0.0009023730368122407,,,PRUNED
13,0.1254168677330017,2026-04-26 06:15:08.129257,2026-04-26 06:16:23.329515,0 days 00:01:15.200258,8,512,,False,0.19592361291462523,0.0007269377550630603,10,2,False,0.00016570766804173995,0.9516358024691358,0.1254168677330017,COMPLETE
14,0.1295593100786209,2026-04-26 06:16:23.329956,2026-04-26 06:17:16.531955,0 days 00:00:53.201999,16,512,,False,0.13255228735874566,0.0025230631071832444,8,3,False,0.0001812224159069074,0.9509876543209876,0.1295593100786209,COMPLETE
15,0.12347648680210113,2026-04-26 06:17:16.532916,2026-04-26 06:18:09.199145,0 days 00:00:52.666229,8,256,,False,0.24122091429239573,0.0015012225050983282,10,2,False,1.0940867320453416e-05,0.9509876543209876,0.12347648680210113,COMPLETE
16,0.126371631026268,2026-04-26 06:18:09.199582,2026-04-26 06:18:40.316104,0 days 00:00:31.116522,8,256,,False,0.16479486251396186,0.002503488961794252,8,2,False,1.0195427736142051e-05,0.9510185185185185,0.126371631026268,COMPLETE
17,0.17360645294189453,2026-04-26 06:18:40.316557,2026-04-26 06:18:54.738350,0 days 00:00:14.421793,16,256,,False,0.28263840700854365,0.0014983300445754553,10,2,False,9.34999569907893e-06,,,PRUNED
18,0.22857400119304658,2026-04-26 06:18:54.738498,2026-04-26 06:18:58.748977,0 days 00:00:04.010479,8,256,,True,0.11345176298708512,0.0005188640486693116,4,2,False,1.4000678763771771e-05,,,PRUNED
19,0.28385204195976255,2026-04-26 06:18:58.749137,2026-04-26 06:19:04.730058,0 days 00:00:05.980921,16,256,,False,0.16939923682980834,0.0005742021049061188,10,1,False,3.392513394576353e-05,,,PRUNED
20,0.16110849738121033,2026-04-26 06:19:04.730205,2026-04-26 06:19:26.677806,0 days 00:00:21.947601,8,256,,False,0.05525742406899056,0.001165065018549399,8,2,False,0.00011218408443944251,,,PRUNED
21,0.12397178113460541,2026-04-26 06:19:26.677956,2026-04-26 06:20:50.390780,0 days 00:01:23.712824,8,512,,False,0.2361659602486584,0.0010944816822844915,10,3,False,0.00024249541159075872,0.9510493827160493,0.12397178113460541,COMPLETE
22,0.12347016453742982,2026-04-26 06:20:50.391255,2026-04-26 06:21:50.380091,0 days 00:00:59.988836,8,512,,False,0.2156940907422295,0.0018073809936134514,10,3,False,4.897160884489236e-06,0.9519753086419753,0.12347016453742982,COMPLETE
23,0.12555885553359986,2026-04-26 06:21:50.380596,2026-04-26 06:22:57.300914,0 days 00:01:06.920318,8,512,,False,0.2201099827591651,0.00198474110477484,10,3,False,4.553727373930538e-06,0.9512345679012346,0.12555885553359986,COMPLETE
24,0.12557879447937012,2026-04-26 06:22:57.301334,2026-04-26 06:23:52.733171,0 days 00:00:55.431837,8,512,,False,0.26747918358554046,0.002054919776560759,10,3,False,4.873498422065458e-07,0.951358024691358,0.12557879447937012,COMPLETE
25,0.1309446209669113,2026-04-26 06:23:52.733595,2026-04-26 06:24:51.458421,0 days 00:00:58.724826,8,512,,False,0.30389486297293766,0.0029942584019899306,10,3,False,4.078822774529719e-06,0.9489506172839506,0.1309446209669113,COMPLETE
